SITE_ID,latitude,longitude,outlier_flag,Total_Plant_cover_z,clay_content_z,silt_content_z,sand_content_z,aggregate_stability_z,Bulk density_z,Soil moisture_z,As_z,Cu_z,K_z,Mo_z,Ni_z,P_z,Pb_z,Zn_z,soil_pH_z,plot_Total_C_z,plot_Total_organic_C_z,plot_Total_N_z,Macrofauna_Shannon_z,Earthworm_Shannon_z,Oribatid_Shannon_z,Mesostigmatid_Shannon_z,Oomycete_Shannon_z,Cercozoan_Shannon_z,NEMATODE_Shannon_z,BACTERIA_SHANNON_z,FUNGI_SHANNON_z,EUKARYOTES_SHANNON_z,macro_Amphipoda_z,macro_Blattodea_z,macro_Chilopoda_z,macro_Coleoptera_z,macro_Dermaptera_z,macro_Diplopoda_z,macro_Diplura_z,macro_Diptera_z,macro_Gastropoda_z,macro_Glomeris_z,macro_Hemiptera_z,macro_Hymenoptera_z,macro_Isopoda_z,macro_Lepidoptera_z,macro_Oligochaeta_z,macro_Opiliones_z,macro_Orthoptera_z,macro_Symphyla_z,macro_LARVAE_z,macro_Araneae_z,macro_total_abundance_z,macro_order_richness_z,Earthworm_Abundance_z,Earthworm_Richness_z,orib_total_abundance_z,orib_species_richness_z,meso_total_abundance_z,meso_species_richness_z,coll_total_abundance_z,coll_species_richness_z,coll_nymphs_abundance_z,coll_shannon_calc_z,bac_asv_richness_z,bac_total_reads_z,fun_asv_richness_z,fun_total_reads_z,euk_asv_richness_z,euk_total_reads_z,oomy_asv_richness_z,oomy_total_reads_z,cerc_asv_richness_z,cerc_total_reads_z,eu_clay_content_z,eu_sand_content_z,eu_silt_content_z,eu_water_holding_capacity_z,eu_CN_ratio_z,eu_P_z,eu_pH_z,eu_As_z,eu_organic_carbon_octop_z,eu_Zn_z,Country_enc,Pedoclimatic_region_enc,soil_type_enc,Land_use_type_enc,Land_use_intensity_enc,Dominant_vegetation_enc,eu_uso_suelo_nombre_enc,eu_soil_texture_class_enc,eu_env_zone_enc,eu_soil_type_wrb_enc
BE_001,51.099,4.975,True,0.466425029660814,-0.2702107038277066,-0.17898256404374868,0.2695787470947122,0.5450590004056404,-1.7755800861048403,3.5440251377110426,9.598574981386454,-0.34026750285360957,-0.26808694246252374,-0.6343769928459315,-0.6607291624174956,0.39553687019482536,1.2734965530450557,1.176845222224999,-1.1659182338381282,1.3175251682737106,1.24288354867532,1.5773927656880358,0.6243197562288966,-0.5583700459899114,0.6826253911408999,0.3220346135759499,0.6643596285771711,-0.06464065170640673,0.45336869049393336,0.22907480642619552,-0.000992927536742036,0.07036715203432793,-0.0843693708310462,-0.2168943304382987,-0.1319510646468539,0.264514396225995,-0.30298911170375264,-0.15175964533398406,-0.09226553927193881,-0.09068980346154015,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.08686995826349626,-0.1711534724157458,0.5932626996964049,-0.08637092971457469,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,-0.5050960467941736,-0.26392234982359797,0.8593003893340802,-0.07441274659037878,0.36631766534336446,0.09213716714784619,0.23221850463514626,0.2039305200561082,0.398798868317965,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.046727599797912286,-0.4285717977572645,0.2939565253401415,0.013407302346059798,-0.12086884935980913,-0.19312772905011366,-0.9697450598549218,-0.46366873901477357,0.7279986130391894,0.7643297182272045,-1.2632435605631607,1.0083287347795544,-0.7234427484912722,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.4472402984276404,-0.26854710385736486,-0.4880330349986752,0,1,20,3,1,13,15,2,6,9
BE_002,51.102,4.978,True,0.466425029660814,-0.6067949640985292,-0.6765555706218038,0.7784505690086475,0.3154372587466762,-0.7247086542347596,2.7330961032601864,2.710580667592394,-0.3561312504903706,-0.3919733778755939,-0.11266233090990098,-0.6607291624174956,0.47144971019710047,0.214580964224654,0.05794243321410608,-0.8268249368447663,0.9493377636194454,0.8710724093302133,1.3185818669067195,0.29330753272492516,0.7363250477493843,0.7195692505121494,-0.7136934512833535,0.08082372625878116,0.5027174583524039,0.6326285516380014,0.8280638976136507,-0.462648334676645,0.052825775410664494,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,0.8567521111492312,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,0.19757782284027323,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.12122084216176211,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,1.621885707262216,-0.1946182417651282,-0.017063153084473304,0.10813372973092299,0.740503729226324,-0.013491513760934644,-0.003301684900025763,-0.3591808514536615,-0.18977325457889377,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.8230109115252595,-0.44531780626745887,0.2939565253401415,1.2625057143269471,-0.10888000404671569,-0.05691347244605631,0.6413108169716945,0.0680922617579403,1.5884846865449227,0.3137184249698583,-1.2632435605631607,1.0083287347795544,-0.7234427484912722,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.7899944226895456,-0.26854710385736486,0.684414594720878,0,1,20,3,2,13,9,2,6,3
BE_003,51.097,4.976,False,0.466425029660814,-1.2862274597072483,-1.3498285184810914,1.5969777515577648,0.9260223445216486,-0.5126907337697434,1.9728501334625095,-0.3587148118749679,-0.42223019897687475,-0.7807204683097108,-0.060490864716297874,-0.6607291624174956,0.7231607059941181,-0.12603302167600025,-0.6469663238627564,-1.1824593702768285,0.31956830839957195,0.23510470454160273,0.6828099620265063,0.0531865886458512,0.051325204890917235,-0.9841801882250418,-0.7136934512833535,-0.5712473008747072,0.3801348395663159,0.8825832074834268,0.11529322613033334,-0.99838921862854,-0.16118671931334785,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,-0.20927577571259415,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,0.13469834680092466,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,1.0901402687481185,-0.3332264578820678,-0.3091843338906578,-0.15807988157097538,0.36631766534336446,-0.4360062373960579,-0.7098622535055418,-0.5468846419569181,-0.7783453774757525,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-0.1629792664033142,2.318616922084192,0.2939565253401415,-0.45303794312568674,0.28675189128536793,0.2398118981273306,-0.12237151425131194,-0.1700182839440447,-0.12549163873072489,-1.0580399017979951,-1.073249293615596,0.9192430311982831,-0.7083202745046644,-0.8723907003455023,-0.2523162139516721,1.475930000532895,-0.3780442816905371,0.5343726783235834,-0.26854710385736486,-0.24591906049794912,0,1,1,3,0,13,15,2,6,9
BE_004,51.232,5.027,True,0.466425029660814,-2.163685087103094,-2.2939946362019907,2.7011244482827457,0.03884743356656027,0.23398107308531366,-0.13894422708659476,-0.4825292791995537,-0.3878587457638926,-0.5756670579708358,-0.060490864716297874,-0.6607291624174956,0.9828625270545328,-0.5593310853727511,-1.0654359669528304,-0.41329652587725185,-0.524930548225435,-0.6177057883980733,-0.5439801736878845,-1.2104804520286392,0.5021626964326315,-0.9841801882250418,1.9137450662050992,0.7095174529884993,0.6002991444815385,0.9668264135032606,0.6855511796316341,-0.30559202552126974,0.6265045156893188,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,-0.3869470901895651,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,0.29252211097697256,-0.41639138755223154,-0.6013055146968422,0.03967880111043486,0.740503729226324,-0.4360062373960579,-0.7098622535055418,3.207191168108213,2.7530873599054,2.109916859435027,1.4062758477163753,3.121127664472637,0.41209787542381954,0.6684900627454083,1.3886713128022465,-0.9964372474350444,-1.327314282852492,-0.252746147803837,-0.7315309027286927,-1.440508140745816,-0.4016203466104306,2.6448537686535873,1.733295424527667,-1.5190040059520435,1.5277999194442218,-1.343588803837029,-1.6136205323448576,0.9650177768025775,1.6722672577923934,-0.6663159191909973,-0.022041395814694158,-0.26854710385736486,-1.0002926324970243,0,1,15,3,0,13,15,2,6,3
BE_005,51.226,5.033,False,0.466425029660814,-2.173201515083268,-2.282839008579568,2.6996155209039974,0.33631196253385476,-0.18083659738971794,1.3477590027399737,-0.5411782374059364,-0.4671774839476976,-1.0327652851845774,0.004723468025705948,-0.6607291624174956,-0.05194934455542792,-0.5570139834278487,-1.2511738299286386,-1.0997536880833259,-0.5451554808404676,-0.6381297766815254,-0.56756009054651,-1.2104804520286392,-0.3730490011229265,-0.9841801882250418,-0.7136934512833535,1.0353466939235247,0.3933906863940665,0.9142103431250811,0.8114896333042971,-1.3599419285428076,-0.6809061614056747,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,-0.564618404666536,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,-0.5050960467941736,-0.45797385238731336,-1.185547876309211,-0.1961103974712466,-0.007868398539594996,-0.4360062373960579,-0.7098622535055418,-0.5468846419569181,-0.7783453774757525,-0.32591594717760985,-0.17209669465060531,-0.24492650498741353,-0.6185677000086734,0.9407410820241937,-0.7797560769458732,0.2939565253401415,-0.08685374578774815,-0.1688242306121829,-0.2753574056957068,0.09731792349777207,-0.4170203399348205,1.056802234622681,-0.06165815643129143,-1.3167870264631556,1.2783549384989208,-1.095370618674984,-1.5306452458081614,-0.20987005981141474,1.6148500184391048,-0.06583534973512571,0.6080947108259753,-0.07594766764567339,-0.18345958577202856,0,1,15,3,2,13,15,2,6,9
BE_006,51.222,5.026,True,0.466425029660814,-2.161341603690493,-1.8846843504665876,2.441809105816502,0.33631196253385476,-1.6465256997348305,3.5440251377110426,-0.4238803209931709,-0.5332764324342018,-0.9985897167947652,0.382966597929328,-0.6607291624174956,-0.5154172098324761,-0.5384771678686293,-1.380966553453902,-1.3396001664444843,-0.5179111591333981,-0.6106173138255453,-0.4348145529098692,-1.2104804520286392,-0.049867771690253526,0.8136296505806065,1.2292945241716924,-1.72891658264027,0.28538938684071713,0.8593725161350834,-1.0491163995492676,-0.4575676631023231,-1.0689886411224452,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,-0.3869470901895651,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,0.29252211097697256,-0.41639138755223154,-0.6013055146968422,-0.2645653260917347,-0.756240526305514,2.028662983808828,1.1742992627758344,0.39163431055936476,0.9873709912148237,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-1.2151926652375384,-0.8599923479371644,1.5843502981153275,0.20621701029569048,-0.876166104084696,-0.1958611255037068,-0.7919012292961395,0.13714880420258377,0.6440487522093619,0.5881976067842022,-1.4332685485494776,1.3529708692047695,-1.134664126661197,-1.506909807854015,0.2527023386788882,2.089384705587163,-0.48242519357058306,0.6376735339611533,-0.22174715124340774,-0.41222774335305234,0,1,15,3,1,13,15,2,6,9
BE_007,51.347,5.029,False,0.466425029660814,-1.9654929159808459,-1.5569775958603653,2.1216473273945597,0.47199753715051546,-0.273018301939725,1.094343679474082,-0.554211339229577,-0.4248741569163349,-0.9302385800151401,0.04385206767090822,-0.6607291624174956,0.0319543207102446,-0.5268916581441173,-0.557454100741885,-0.8268249368447663,-0.36317926442842113,-0.4543625334174341,-0.305346777347538,-1.2104804520286392,0.9344562507428192,-0.9841801882250418,-0.7136934512833535,0.1183153461447848,0.5547821739014457,0.2909612760713686,0.20217199538087935,-0.48222505047636594,-0.3153030306103444,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,0.8567521111492312,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,-0.5050960467941736,-0.2916439930469859,-0.8934266955030267,0.5721060237142316,0.740503729226324,-0.4360062373960579,-0.7098622535055418,-0.3591808514536615,-0.18977325457889377,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.07248107459455413,-0.7180729376853012,0.2939565253401415,0.34442300895398575,-0.6963334243882944,-1.4647645014050483,0.4634669864129121,0.4736168779838875,0.6650362174168187,-0.7341480914340306,-1.4506110716966476,1.4396937754915067,-1.2540232725612852,-1.3469637615492929,0.4190469878060982,1.6390703641762288,-0.7267758577618416,-0.8358735926434738,1.8862193191855048,-1.073801006525449,0,1,15,3,0,13,15,2,6,9
BE_008,51.339,5.003,True,0.466425029660814,-1.9492136348070332,-1.6099696099697682,2.145598482263583,0.47199753715051546,0.12336302762530567,-0.037578097780237685,-0.6128602974359596,-0.48832914746337897,-1.037037231233304,-0.6343769928459315,-0.6607291624174956,0.11585798597591696,-0.5292087600890197,-1.2086555239462247,-0.8929894825995687,-0.5172181424443587,-0.6099174764017777,-0.448614400668503,-0.52243037393256,0.07028269526097658,-0.9841801882250418,0.45866007150896654,0.03116925789350184,0.5293062131546827,1.7724977663863857,-1.3833276779810153,1.6142711278309538,-0.4572945106777187,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,0.32373816771831854,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.09788397618243763,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,-0.5050960467941736,-0.3332264578820678,-0.6013055146968422,-0.23414091337151777,-0.007868398539594996,-0.4360062373960579,-0.7098622535055418,0.016226729552851628,0.398798868317965,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-1.8479923316693097,-0.8239703584080412,0.2939565253401415,0.37558105775864603,-0.3966122915609583,0.22090590598997817,0.5471582007935155,-0.2132202618890053,2.022225634165699,0.2984164496770726,-1.9684816651240626,1.715521612292467,-1.344788991274698,-1.9935585189389047,0.5844793962419726,1.8615782729164165,-1.095125711245547,0.45718546981782954,-0.02579162746486699,-0.7935507686844597,0,1,15,3,2,13,10,2,6,9
BE_009,51.339,5.001,True,0.466425029660814,-1.9597231100133066,-1.611789240068177,2.1528430055971914,0.33631196253385476,-0.4942543928597419,0.9085057757457605,-0.5802775428768582,-0.49097310540283906,-1.0199494470383978,-0.6343769928459315,-0.6607291624174956,-0.6472658266785329,-0.2071315897475846,-1.4570519431066429,-1.959892782895756,-0.46633148741767955,-0.5585299901820973,-0.4699930775690796,0.09066429381906896,-1.2022052999013864,1.3146236104082925,2.2785056770564633,-0.2746177759764441,0.41992373635113683,0.4585666581052638,0.22907480642619552,-0.000992927536742036,0.07036715203432793,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,0.264514396225995,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,1.621885707262216,-0.30550481465867985,-0.6013055146968422,-0.3102019451720602,-1.5046126540714329,5.127104290466399,2.8229405895220387,3.3948949586114696,2.7530873599054,-0.32591594717760985,-0.17209669465060531,-0.24492650498741353,-0.6185677000086734,0.046727599797912286,-0.4285717977572645,0.2939565253401415,-0.5227579335202732,-0.12086884935980913,-0.19312772905011366,-0.18513992503676452,-0.32796430532763743,-0.20944149956055252,-1.0602714398615263,-1.9684816651240626,1.715521612292467,-1.344788991274698,-1.9935585189389047,0.5844793962419726,1.8615782729164165,-1.095125711245547,0.45718546981782954,-0.02579162746486699,-0.7935507686844597,0,1,15,3,1,13,10,2,6,9
BE_010,50.805,5.256,True,0.466425029660814,-0.9074595157067894,1.469432583173694,-0.39954445933731975,0.33631196253385476,-0.005691358744705368,0.8240340013237967,-0.3978141173458898,-0.07322775096813275,2.722275291646067,0.7612097278329502,-0.3581698740636924,3.79962843240211,-0.197863181967975,-0.16807593016609415,0.1573726812579177,-0.49041242304348853,-0.5828479326167,-0.3756893500005838,-0.6030612810652699,0.6534737668636106,-0.9841801882250418,-0.7136934512833535,-0.18802485630679192,0.48526515259251335,0.498943721542607,-3.705971039064823,-1.143800524512042,0.04699976986768632,-0.0843693708310462,-0.2168943304382987,-0.47053053508362536,1.212094740103173,-0.30298911170375264,-0.36104957026694745,-0.09226553927193881,4.377458404216568,-0.1889406451384228,-0.2805277806612867,-0.22627863063810233,-0.16789457412041106,-0.1194957411143004,-0.1711534724157458,-0.29331703309012197,-0.23830992649976981,-0.18547173453098575,-0.1232948716050105,-0.15309097023168255,0.29252211097697256,-0.0005667392014128108,-0.3091843338906578,0.6938036745950994,1.1146897931092834,-0.4360062373960579,-0.7098622535055418,-0.3591808514536615,-0.18977325457889377,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-2.4955082694134476,-0.9158926928920578,0.2939565253401415,0.4422160928260384,-0.2287684571776501,-0.13929500445018242,-0.30021534481009426,-0.23892108269493387,1.6094721517523798,-0.26233718657313754,-0.18398541667173424,-0.896142537901506,1.4617241484597303,-0.6499179940596507,-0.7506995636524232,1.8930665720457733,0.31990887238558646,1.1834363069003278,-0.9611773675192735,0.193292037214881,0,1,13,0,1,12,1,7,6,7
