SITE_ID,latitude,longitude,Country_enc,Pedoclimatic_region_enc,soil_type_enc,Land_use_type_enc,Land_use_intensity_enc,Dominant_vegetation_enc,Total_Plant_cover_z,clay_content_z,silt_content_z,sand_content_z,aggregate_stability_z,Bulk density_z,Soil moisture_z,As_z,Cu_z,K_z,Mo_z,Ni_z,P_z,Pb_z,Zn_z,soil_pH_z,plot_Total_C_z,plot_Total_organic_C_z,plot_Total_N_z,Macrofauna_Shannon_z,Earthworm_Shannon_z,Oribatid_Shannon_z,Mesostigmatid_Shannon_z,Oomycete_Shannon_z,Cercozoan_Shannon_z,NEMATODE_Shannon_z,BACTERIA_SHANNON_z,FUNGI_SHANNON_z,EUKARYOTES_SHANNON_z,coll_shannon_calc_z,macro_Amphipoda_z,macro_Blattodea_z,macro_Chilopoda_z,macro_Coleoptera_z,macro_Dermaptera_z,macro_Diplopoda_z,macro_Diplura_z,macro_Diptera_z,macro_Gastropoda_z,macro_Glomeris_z,macro_Hemiptera_z,macro_Hymenoptera_z,macro_Isopoda_z,macro_Lepidoptera_z,macro_Oligochaeta_z,macro_Opiliones_z,macro_Orthoptera_z,macro_Symphyla_z,macro_LARVAE_z,macro_Araneae_z,macro_total_abundance_z,macro_order_richness_z,Earthworm_Abundance_z,Earthworm_Richness_z,orib_total_abundance_z,orib_species_richness_z,meso_total_abundance_z,meso_species_richness_z,coll_total_abundance_z,coll_species_richness_z,coll_nymphs_abundance_z,bac_asv_richness_z,bac_total_reads_z,fun_asv_richness_z,fun_total_reads_z,euk_asv_richness_z,euk_total_reads_z,oomy_asv_richness_z,oomy_total_reads_z,cerc_asv_richness_z,cerc_total_reads_z,gee_temp_media_C_z,gee_humedad_rel_pct_z,gee_ndvi_verano_z,dem_elevacion_m_z,dem_pendiente_deg_z,dem_orientacion_deg_z,eu_clay_content_z,eu_sand_content_z,eu_silt_content_z,eu_soil_texture_class_enc,eu_water_holding_capacity_z,eu_CN_ratio_z,eu_P_z,eu_pH_z,eu_As_z,eu_organic_carbon_octop_z,eu_Zn_z,eu_env_zone_enc,eu_soil_type_wrb_enc,eu_uso_suelo_nombre_enc,outlier_flag
BE_001,51.099,4.975,0,1,20,3,1,13,0.466425029660814,-0.2702107038277066,-0.1789825640437486,0.2695787470947122,0.5450590004056404,-1.7755800861048403,3.5440251377110426,9.598574981386454,-0.3402675028536095,-0.2680869424625237,-0.6343769928459315,-0.6607291624174956,0.3955368701948253,1.2734965530450555,1.176845222224999,-1.1659182338381282,1.3175251682737106,1.24288354867532,1.5773927656880358,0.6243197562288966,-0.5583700459899114,0.6826253911408999,0.3220346135759499,0.6643596285771711,-0.0646406517064067,0.4533686904939333,0.2290748064261955,-0.000992927536742,0.0703671520343279,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.1319510646468539,0.264514396225995,-0.3029891117037526,-0.151759645333984,-0.0922655392719388,-0.0906898034615401,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.0868699582634962,-0.1711534724157458,0.5932626996964049,-0.0863709297145746,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,-0.5050960467941736,-0.2639223498235979,0.8593003893340802,-0.0744127465903787,0.3663176653433644,0.0921371671478461,0.2322185046351462,0.2039305200561082,0.398798868317965,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,0.0467275997979122,-0.4285717977572645,0.2939565253401415,0.0134073023460597,-0.1208688493598091,-0.1931277290501136,-0.9697450598549218,-0.4636687390147735,0.7279986130391894,0.7643297182272045,-0.07449423838925773,0.13292881021263386,0.5131994810951183,-0.9532211660938916,-0.7586606707504289,-0.7951989711691176,-1.263243560563161,1.0083287347795544,-0.7234427484912722,2,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.4472402984276404,-0.2685471038573648,-0.4880330349986752,6,9,15,True
BE_002,51.102,4.978,0,1,20,3,2,13,0.466425029660814,-0.6067949640985292,-0.6765555706218038,0.7784505690086475,0.3154372587466762,-0.7247086542347596,2.7330961032601864,2.710580667592394,-0.3561312504903706,-0.3919733778755939,-0.1126623309099009,-0.6607291624174956,0.4714497101971004,0.214580964224654,0.057942433214106,-0.8268249368447663,0.9493377636194454,0.8710724093302133,1.3185818669067195,0.2933075327249251,0.7363250477493843,0.7195692505121494,-0.7136934512833535,0.0808237262587811,0.5027174583524039,0.6326285516380014,0.8280638976136507,-0.462648334676645,0.0528257754106644,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,0.8567521111492312,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,0.1975778228402732,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.1212208421617621,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,1.621885707262216,-0.1946182417651282,-0.0170631530844733,0.1081337297309229,0.740503729226324,-0.0134915137609346,-0.0033016849000257,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,0.8230109115252595,-0.4453178062674588,0.2939565253401415,1.2625057143269471,-0.1088800040467156,-0.0569134724460563,0.6413108169716945,0.0680922617579403,1.5884846865449227,0.3137184249698583,-0.10048526648987827,0.20022363440061577,-0.16732685473501088,-0.9572843789319527,-0.8103723955687641,-0.4039605699636303,-1.263243560563161,1.0083287347795544,-0.7234427484912722,2,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.7899944226895456,-0.2685471038573648,0.684414594720878,6,3,9,True
BE_003,51.097,4.976,0,1,1,3,0,13,0.466425029660814,-1.2862274597072485,-1.3498285184810914,1.5969777515577648,0.9260223445216486,-0.5126907337697434,1.9728501334625093,-0.3587148118749679,-0.4222301989768747,-0.7807204683097108,-0.0604908647162978,-0.6607291624174956,0.7231607059941181,-0.1260330216760002,-0.6469663238627564,-1.1824593702768285,0.3195683083995719,0.2351047045416027,0.6828099620265063,0.0531865886458512,0.0513252048909172,-0.9841801882250418,-0.7136934512833535,-0.5712473008747072,0.3801348395663159,0.8825832074834268,0.1152932261303333,-0.99838921862854,-0.1611867193133478,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,-0.2092757757125941,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,0.1346983468009246,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,1.0901402687481183,-0.3332264578820678,-0.3091843338906578,-0.1580798815709753,0.3663176653433644,-0.4360062373960579,-0.7098622535055418,-0.5468846419569181,-0.7783453774757525,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-0.1629792664033142,2.318616922084192,0.2939565253401415,-0.4530379431256867,0.2867518912853679,0.2398118981273306,-0.1223715142513119,-0.1700182839440447,-0.1254916387307248,-1.0580399017979951,-0.07449423838925773,0.13292881021263386,0.2144991056297713,-0.9554374640055613,-0.2752641547100258,0.6009849285635578,-1.073249293615596,0.9192430311982832,-0.7083202745046644,2,-0.8723907003455023,-0.2523162139516721,1.475930000532895,-0.3780442816905371,0.5343726783235834,-0.2685471038573648,-0.2459190604979491,6,9,15,False
BE_004,51.232,5.027,0,1,15,3,0,13,0.466425029660814,-2.163685087103094,-2.2939946362019907,2.7011244482827457,0.0388474335665602,0.2339810730853136,-0.1389442270865947,-0.4825292791995537,-0.3878587457638926,-0.5756670579708358,-0.0604908647162978,-0.6607291624174956,0.9828625270545328,-0.5593310853727511,-1.0654359669528304,-0.4132965258772518,-0.524930548225435,-0.6177057883980733,-0.5439801736878845,-1.2104804520286392,0.5021626964326315,-0.9841801882250418,1.9137450662050992,0.7095174529884993,0.6002991444815385,0.9668264135032606,0.6855511796316341,-0.3055920255212697,0.6265045156893188,0.4120978754238195,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,-0.3869470901895651,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,0.2925221109769725,-0.4163913875522315,-0.6013055146968422,0.0396788011104348,0.740503729226324,-0.4360062373960579,-0.7098622535055418,3.207191168108213,2.7530873599054,2.109916859435027,1.4062758477163753,3.121127664472637,0.6684900627454083,1.3886713128022463,-0.9964372474350444,-1.327314282852492,-0.252746147803837,-0.7315309027286927,-1.440508140745816,-0.4016203466104306,2.644853768653588,1.733295424527667,-0.10323078749079863,0.18668847610696387,-0.11264849611458343,-0.9287033704460453,-0.6998350763512757,-1.3583898628889381,-1.5190040059520435,1.5277999194442218,-1.343588803837029,2,-1.6136205323448576,0.9650177768025776,1.6722672577923934,-0.6663159191909973,-0.0220413958146941,-0.2685471038573648,-1.0002926324970245,6,3,15,True
BE_005,51.226,5.033,0,1,15,3,2,13,0.466425029660814,-2.173201515083268,-2.282839008579568,2.6996155209039974,0.3363119625338547,-0.1808365973897179,1.3477590027399735,-0.5411782374059364,-0.4671774839476976,-1.0327652851845774,0.0047234680257059,-0.6607291624174956,-0.0519493445554279,-0.5570139834278487,-1.2511738299286386,-1.099753688083326,-0.5451554808404676,-0.6381297766815254,-0.56756009054651,-1.2104804520286392,-0.3730490011229265,-0.9841801882250418,-0.7136934512833535,1.0353466939235247,0.3933906863940665,0.9142103431250812,0.8114896333042971,-1.3599419285428076,-0.6809061614056747,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,-0.564618404666536,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,-0.5050960467941736,-0.4579738523873133,-1.185547876309211,-0.1961103974712466,-0.0078683985395949,-0.4360062373960579,-0.7098622535055418,-0.5468846419569181,-0.7783453774757525,-0.3259159471776098,-0.1720966946506053,-0.2449265049874135,0.9407410820241936,-0.7797560769458732,0.2939565253401415,-0.0868537457877481,-0.1688242306121829,-0.2753574056957068,0.097317923497772,-0.4170203399348205,1.056802234622681,-0.0616581564312914,-0.10323078749079863,0.18668847610696387,0.23742903018258055,-0.9269488012659735,-0.6816130067057469,-0.8069968606004997,-1.3167870264631556,1.2783549384989208,-1.095370618674984,2,-1.5306452458081614,-0.2098700598114147,1.6148500184391048,-0.0658353497351257,0.6080947108259753,-0.0759476676456733,-0.1834595857720285,6,9,15,False
BE_006,51.222,5.026,0,1,15,3,1,13,0.466425029660814,-2.161341603690493,-1.884684350466588,2.441809105816502,0.3363119625338547,-1.6465256997348303,3.5440251377110426,-0.4238803209931709,-0.5332764324342018,-0.9985897167947652,0.382966597929328,-0.6607291624174956,-0.5154172098324761,-0.5384771678686293,-1.380966553453902,-1.3396001664444843,-0.5179111591333981,-0.6106173138255453,-0.4348145529098692,-1.2104804520286392,-0.0498677716902535,0.8136296505806065,1.2292945241716924,-1.72891658264027,0.2853893868407171,0.8593725161350834,-1.0491163995492676,-0.4575676631023231,-1.0689886411224452,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,-0.3869470901895651,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,0.2925221109769725,-0.4163913875522315,-0.6013055146968422,-0.2645653260917347,-0.756240526305514,2.028662983808828,1.1742992627758344,0.3916343105593647,0.9873709912148236,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-1.2151926652375384,-0.8599923479371644,1.5843502981153277,0.2062170102956904,-0.876166104084696,-0.1958611255037068,-0.7919012292961395,0.1371488042025837,0.6440487522093619,0.5881976067842022,-0.10323078749079863,0.18668847610696387,0.24125218411997054,-0.9190070670824904,-0.27287085751926343,0.313322329652853,-1.4332685485494776,1.3529708692047695,-1.134664126661197,2,-1.506909807854015,0.2527023386788882,2.089384705587163,-0.482425193570583,0.6376735339611533,-0.2217471512434077,-0.4122277433530523,6,9,15,True
BE_007,51.347,5.029,0,1,15,3,0,13,0.466425029660814,-1.9654929159808456,-1.556977595860365,2.12164732739456,0.4719975371505154,-0.273018301939725,1.094343679474082,-0.554211339229577,-0.4248741569163349,-0.93023858001514,0.0438520676709082,-0.6607291624174956,0.0319543207102446,-0.5268916581441173,-0.557454100741885,-0.8268249368447663,-0.3631792644284211,-0.4543625334174341,-0.305346777347538,-1.2104804520286392,0.9344562507428192,-0.9841801882250418,-0.7136934512833535,0.1183153461447848,0.5547821739014457,0.2909612760713686,0.2021719953808793,-0.4822250504763659,-0.3153030306103444,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,0.8567521111492312,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,-0.5050960467941736,-0.2916439930469859,-0.8934266955030267,0.5721060237142316,0.740503729226324,-0.4360062373960579,-0.7098622535055418,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,0.0724810745945541,-0.7180729376853012,0.2939565253401415,0.3444230089539857,-0.6963334243882944,-1.4647645014050483,0.4634669864129121,0.4736168779838875,0.6650362174168187,-0.7341480914340306,-0.11777094726229616,0.22624826766777537,0.1838947148170699,-0.8941198884493657,-0.7303042254143612,0.9703977916377612,-1.4506110716966476,1.439693775491507,-1.2540232725612852,2,-1.3469637615492929,0.4190469878060982,1.6390703641762288,-0.7267758577618416,-0.8358735926434738,1.8862193191855048,-1.073801006525449,6,9,15,False
BE_008,51.339,5.003,0,1,15,3,2,13,0.466425029660814,-1.9492136348070328,-1.6099696099697682,2.145598482263583,0.4719975371505154,0.1233630276253056,-0.0375780977802376,-0.6128602974359596,-0.4883291474633789,-1.037037231233304,-0.6343769928459315,-0.6607291624174956,0.1158579859759169,-0.5292087600890197,-1.2086555239462249,-0.8929894825995687,-0.5172181424443587,-0.6099174764017777,-0.448614400668503,-0.52243037393256,0.0702826952609765,-0.9841801882250418,0.4586600715089665,0.0311692578935018,0.5293062131546827,1.7724977663863857,-1.3833276779810153,1.6142711278309538,-0.4572945106777187,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,0.3237381677183185,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.0978839761824376,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,-0.5050960467941736,-0.3332264578820678,-0.6013055146968422,-0.2341409133715177,-0.0078683985395949,-0.4360062373960579,-0.7098622535055418,0.0162267295528516,0.398798868317965,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-1.8479923316693097,-0.8239703584080412,0.2939565253401415,0.375581057758646,-0.3966122915609583,0.2209059059899781,0.5471582007935155,-0.2132202618890053,2.022225634165699,0.2984164496770726,-0.11777094726229616,0.22624826766777537,0.7071091520972266,-0.9098186653236929,0.021752279412521818,-0.4728246570336919,-1.9684816651240624,1.715521612292467,-1.344788991274698,2,-1.993558518938905,0.5844793962419726,1.8615782729164163,-1.095125711245547,0.4571854698178295,-0.0257916274648669,-0.7935507686844597,6,9,10,True
BE_009,51.339,5.001,0,1,15,3,1,13,0.466425029660814,-1.9597231100133063,-1.611789240068177,2.1528430055971914,0.3363119625338547,-0.4942543928597419,0.9085057757457604,-0.5802775428768582,-0.490973105402839,-1.0199494470383978,-0.6343769928459315,-0.6607291624174956,-0.6472658266785329,-0.2071315897475846,-1.4570519431066429,-1.959892782895756,-0.4663314874176795,-0.5585299901820973,-0.4699930775690796,0.0906642938190689,-1.2022052999013864,1.3146236104082925,2.278505677056464,-0.2746177759764441,0.4199237363511368,0.4585666581052638,0.2290748064261955,-0.000992927536742,0.0703671520343279,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,0.264514396225995,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,-0.3789574297633535,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,1.621885707262216,-0.3055048146586798,-0.6013055146968422,-0.3102019451720602,-1.5046126540714329,5.127104290466399,2.8229405895220387,3.3948949586114696,2.7530873599054,-0.3259159471776098,-0.1720966946506053,-0.2449265049874135,0.0467275997979122,-0.4285717977572645,0.2939565253401415,-0.5227579335202732,-0.1208688493598091,-0.1931277290501136,-0.1851399250367645,-0.3279643053276374,-0.2094414995605525,-1.0602714398615265,-0.11777094726229616,0.22624826766777537,0.8073744847510519,-0.9162366946929031,0.43021383513526057,-1.7277601672277538,-1.9684816651240624,1.715521612292467,-1.344788991274698,2,-1.993558518938905,0.5844793962419726,1.8615782729164163,-1.095125711245547,0.4571854698178295,-0.0257916274648669,-0.7935507686844597,6,9,10,True
BE_010,50.805,5.256,0,1,13,0,1,12,0.466425029660814,-0.9074595157067894,1.469432583173694,-0.3995444593373197,0.3363119625338547,-0.0056913587447053,0.8240340013237967,-0.3978141173458898,-0.0732277509681327,2.722275291646067,0.7612097278329502,-0.3581698740636924,3.79962843240211,-0.197863181967975,-0.1680759301660941,0.1573726812579177,-0.4904124230434885,-0.5828479326167,-0.3756893500005838,-0.6030612810652699,0.6534737668636106,-0.9841801882250418,-0.7136934512833535,-0.1880248563067919,0.4852651525925133,0.498943721542607,-3.705971039064823,-1.143800524512042,0.0469997698676863,-0.6185677000086734,-0.0843693708310462,-0.2168943304382987,-0.4705305350836253,1.212094740103173,-0.3029891117037526,-0.3610495702669474,-0.0922655392719388,4.377458404216568,-0.1889406451384228,-0.2805277806612867,-0.2262786306381023,-0.167894574120411,-0.1194957411143004,-0.1711534724157458,-0.2933170330901219,-0.2383099264997698,-0.1854717345309857,-0.1232948716050105,-0.1530909702316825,0.2925221109769725,-0.0005667392014128,-0.3091843338906578,0.6938036745950994,1.1146897931092834,-0.4360062373960579,-0.7098622535055418,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.495508269413448,-0.9158926928920578,0.2939565253401415,0.4422160928260384,-0.2287684571776501,-0.1392950044501824,-0.3002153448100942,-0.2389210826949338,1.6094721517523798,-0.2623371865731375,-0.10428716646633035,0.1289915496526993,0.031838564333646166,-0.7345926116823058,-0.6459446258144534,0.3289160529595214,-0.1839854166717342,-0.896142537901506,1.4617241484597303,7,-0.6499179940596507,-0.7506995636524232,1.893066572045773,0.3199088723855864,1.1834363069003278,-0.9611773675192736,0.193292037214881,6,7,1,True
