SITE_ID,gee_temp_media_C,gee_humedad_rel_pct,gee_ndvi_verano,cds_precip_mm_mes,dem_elevacion_m,dem_pendiente_deg,dem_orientacion_deg
BE_001,11.639553580029883,75.7536237866662,0.7139194011688232,,13.31,0.4745,93.204
BE_003,11.639553580029883,75.7536237866662,0.6497213840484619,,12.83,3.4032,230.9894
BE_004,11.534255241893959,76.04452171528544,0.5844539999961853,,18.62,0.8309,37.6243
BE_005,11.534255241893959,76.04452171528544,0.6528892517089844,,19.0,0.9413,92.0397
BE_006,11.534255241893959,76.04452171528544,0.6586180329322815,,20.72,3.4177,202.6008
BE_007,11.480976239785548,76.25858296790314,0.6414841413497925,,26.11,0.6463,267.4457
BE_008,11.480976239785548,76.25858296790314,0.7500886917114258,,22.71,5.2027,125.0182
BE_009,11.480976239785548,76.25858296790314,0.7687848806381226,,21.32,7.6774,1.1722
BE_010,11.5303843891283,75.73231894925202,0.6054549813270569,,60.66,1.1574,204.1397
BE_011,11.376178217216875,76.33187775856028,0.7084680199623108,,85.82,2.8861,268.3865
BE_012,11.574191344131236,75.87102056760848,0.4358662962913513,,43.23,0.407,13.5626
BE_013,11.545118812562407,76.74133957497556,0.6727725267410278,,45.64,2.3926,53.7384
BE_014,11.502289905777786,76.95486957333146,0.4112802743911743,,104.05,5.9403,165.6291
BE_015,11.545118812562407,76.74133957497556,0.612372100353241,,90.96,5.954,22.0214
BE_016,11.603933785986044,76.35270492740777,0.6157596707344055,,17.97,0.428,241.557
BE_017,11.657731155135025,75.54558597408158,0.5100037455558777,,65.73,5.0675,34.2231
BE_018,11.657731155135025,75.54558597408158,0.671621561050415,,42.25,3.1827,290.314
BE_019,11.544315559077234,76.11776155868209,0.817400336265564,,15.22,1.8486,261.6445
BE_020,11.544315559077234,76.11776155868209,0.6376485824584961,,11.05,0.3109,214.9489
BE_021,11.639553580029883,75.7536237866662,0.7554709315299988,,15.35,3.4858,323.2891
BE_022,11.509388295377619,75.38230566562052,0.6784706711769104,,42.54,5.5664,77.555
BE_023,11.453171768606865,75.263511803516,0.3053298890590668,,51.98,4.919,94.129
BE_024,11.509388295377619,75.38230566562052,0.7562353610992432,,36.68,0.2386,321.7804
BE_025,11.480976239785548,76.25858296790314,0.8371191620826721,,20.33,0.2659,244.7342
BE_026,11.480976239785548,76.25858296790314,0.837486743927002,,20.83,0.3185,340.1976
BE_027,11.480976239785548,76.25858296790314,0.7465137243270874,,26.19,8.1443,169.5736
BE_028,11.607935753373624,75.42808559865854,0.6469337940216064,,36.29,3.6025,50.8981
BE_029,11.603764302694174,75.30531897250033,0.7557553052902222,,38.7,9.01,354.2323
BE_030,11.603764302694174,75.30531897250033,0.7312875986099243,,32.78,2.4371,307.0006
BE_031,11.531862307196832,76.03830570572703,0.7584848999977112,,36.83,6.5874,352.1389
BE_032,11.531862307196832,76.03830570572703,0.7659885883331299,,37.07,4.199,101.0116
BE_033,11.531862307196832,76.03830570572703,0.7478613257408142,,33.69,7.8973,175.7143
BE_034,11.60836234017978,76.02579070261645,0.6040052175521851,,21.67,13.479,318.4925
BE_035,11.60836234017978,76.02579070261645,0.7445129156112671,,18.84,3.4953,333.7536
BE_036,11.60836234017978,76.02579070261645,0.7258402109146118,,19.1,7.3132,6.7079
CH_001,10.308694970174201,74.94567130676968,0.8575787544250488,,630.96,14.2713,179.6642
CH_002,10.749158532046295,77.40630927909935,0.7574008107185364,,571.43,12.3048,343.6709
CH_003,10.49991643398721,76.18864813564022,0.8351689577102661,,454.42,9.0227,119.7789
CH_004,10.062623765946,76.40818684730642,0.8414415717124939,,715.27,37.6115,183.9201
CH_005,10.274709614599658,75.89417906566412,0.8590583801269531,,535.58,33.3561,179.771
CH_006,10.749158532046295,77.40630927909935,0.8867148160934448,,571.29,9.5001,164.1459
CH_007,10.062623765946,76.40818684730642,0.826167643070221,,604.2,12.3166,156.0133
CH_008,10.274709614599658,75.89417906566412,0.8631511330604553,,452.35,29.0662,201.6098
CH_009,10.42626411400829,75.08229274551536,0.8748073577880859,,510.02,12.9728,267.3481
CH_010,10.217702351518824,75.3868533719408,0.2904823124408722,,491.7,19.584,343.7322
CH_011,9.529290566327347,77.43419707207103,0.8509314656257629,,599.07,18.9492,174.9984
CH_012,10.062623765946,76.40818684730642,0.6860451698303223,,727.36,4.792,164.0946
CH_013,10.338252254412623,75.94111416114475,0.7525893449783325,,393.43,3.9373,343.4609
CH_014,9.757522382028924,76.81279471058252,0.7912213802337646,,640.59,8.692,174.504
CH_015,10.308694970174201,74.94567130676968,0.8053749203681946,,595.85,17.1338,108.4804
CH_016,9.341577328638834,76.42114468267978,0.7930472493171692,,925.54,9.5778,156.5205
CH_017,9.341577328638834,76.42114468267978,0.7873833179473877,,702.48,5.5806,142.5735
CH_018,10.084606005078854,75.79394215319432,0.8507533669471741,,566.34,41.7687,163.0133
CH_019,10.156231619867356,75.3137656830108,0.8769227862358093,,529.44,34.7351,27.4179
CH_020,10.094063863576139,76.20703287521243,0.5610053539276123,,633.29,2.9445,26.3958
CH_021,10.154529878368692,76.63498462058152,0.7382890582084656,,526.86,4.0051,328.2754
CH_022,10.338252254412623,75.94111416114475,0.2596167325973511,,392.85,2.1704,33.3603
CH_023,9.76991917662292,76.14374512027184,0.48530253767967224,,472.71,5.4058,132.4052
CH_024,9.530379634829671,77.18334814438677,0.7977908849716187,,608.59,16.0116,188.7976
CH_025,10.42373772468369,75.59417675955982,0.7084753513336182,,414.93,0.0918,286.8371
CH_026,9.530379634829671,77.18334814438677,0.1448364555835724,,506.5,3.7673,163.815
CH_027,9.841884835140263,77.51728230501026,0.6582945585250854,,646.86,13.5844,356.1208
CH_028,10.42917571289098,76.00732330022272,0.6763916611671448,,467.81,4.4151,324.8552
CH_029,10.368208008242277,75.12132504901845,0.7477123737335205,,421.17,2.6045,85.1558
CH_030,10.49991643398721,76.18864813564022,0.6617132425308228,,438.77,9.7748,59.6867
CH_031,9.76991917662292,76.14374512027184,0.7759315967559814,,520.9,27.4773,256.0074
CH_032,8.853262352838101,77.69915586535528,0.8276010155677795,,677.0,7.1079,188.8749
CH_033,8.853262352838101,77.69915586535528,0.7292190194129944,,665.58,10.642,81.84
CH_034,9.529290566327347,77.43419707207103,0.8448228240013123,,546.05,0.3013,270.5553
CH_035,9.608366425904705,78.31963519938023,0.8026564717292786,,500.39,2.0243,68.1239
CH_036,9.982151962795342,75.63122898563942,0.3208451271057129,,427.87,5.4231,54.5565
CH_037,10.084606005078854,75.79394215319432,0.4328310191631317,,420.1,0.6813,130.6767
CH_038,9.982151962795342,75.63122898563942,0.6453425884246826,,452.02,5.8951,256.7238
CH_039,9.76991917662292,76.14374512027184,0.7514178156852722,,541.99,2.7325,34.2265
CH_040,9.841884835140263,77.51728230501026,0.7336665391921997,,563.63,8.9821,139.2266
CH_041,9.841884835140263,77.51728230501026,0.6477171182632446,,500.29,11.062,155.3213
CH_042,9.43117652944187,75.48790201049624,0.46701550483703613,,551.56,2.6805,342.3568
CH_043,1.1631318146751823,76.9843476127627,0.6861947178840637,,618.46,12.2601,264.5076
CH_044,1.1631318146751823,76.9843476127627,0.22838933765888214,,617.07,6.6724,239.3611
CH_045,3.390096832849224,74.42617100590944,0.32532820105552673,,483.42,9.8202,37.993
CH_046,3.390096832849224,74.42617100590944,0.564670979976654,,478.33,0.6587,79.4288
CH_047,3.390096832849224,74.42617100590944,0.5217731595039368,,483.3,4.6187,161.3213
CH_049,2.7997537701418764,77.56897532987657,0.770270586013794,,698.6,47.1408,181.5243
CH_050,0.7452122790869566,78.1112501567708,0.7807862162590027,,634.29,1.3613,19.1386
CH_051,0.7452122790869566,78.1112501567708,0.7026898860931396,,634.82,0.5833,263.0605
DE_001,9.84788230763644,75.93020329359655,0.6513836979866028,,323.52,3.6045,121.8653
DE_002,10.001320771867654,75.58114413077323,0.6384934186935425,,320.36,4.585,56.4923
DE_003,10.001320771867654,75.58114413077323,0.41436320543289185,,315.19,5.1529,33.9416
DE_004,10.001320771867654,75.58114413077323,0.5284780263900757,,242.34,7.5575,180.1752
DE_005,9.637436691753294,76.16038050273889,0.6774062514305115,,300.94,9.7903,307.9938
DE_006,9.637436691753294,76.16038050273889,0.8141530156135559,,289.86,12.1603,169.9535
DE_007,9.893579430335706,75.93531808637591,0.7522562742233276,,471.61,1.6831,127.4152
DE_008,9.893579430335706,75.93531808637591,0.6130749583244324,,435.34,3.5815,43.2256
DE_009,9.473412820423789,75.85553684804748,0.8023926019668579,,287.71,10.534,242.5639
DE_010,9.254131824778597,76.1444738137567,0.8972349166870117,,320.98,5.6806,115.3629
DE_011,9.294033384068996,76.20049523122188,0.8956974148750305,,496.76,4.6252,10.15
DE_012,9.294033384068996,76.20049523122188,0.8820035457611084,,495.22,11.6746,26.674
DE_013,9.637436691753294,76.16038050273889,0.8932728171348572,,440.15,4.9421,147.458
DE_014,9.84788230763644,75.93020329359655,0.8849315047264099,,424.95,7.0446,150.7267
DE_015,9.84788230763644,75.93020329359655,0.8842868804931641,,398.34,2.2894,269.4098
DE_016,9.254131824778597,76.1444738137567,0.8064455389976501,,423.2,5.8471,316.5862
DE_017,9.254131824778597,76.1444738137567,0.8646460175514221,,439.45,2.2005,213.1298
DE_018,9.637436691753294,76.16038050273889,0.7571263313293457,,415.83,4.4264,118.3441
DE_019,9.84788230763644,75.93020329359655,0.5595049858093262,,253.68,1.8925,80.6276
DE_020,9.254131824778597,76.1444738137567,0.6246248483657837,,276.55,1.1172,209.124
DE_022,9.473412820423789,75.85553684804748,0.7071982026100159,,274.78,3.0986,157.3645
DE_023,9.473412820423789,75.85553684804748,0.7055157423019409,,275.77,2.7011,151.3253
DE_024,9.473412820423789,75.85553684804748,0.5516865849494934,,273.89,3.0386,170.2326
ES_001,12.443212220252974,81.83866155504883,0.7914798855781555,,455.98,4.8222,158.7599
ES_002,12.443212220252974,81.83866155504883,0.7582013607025146,,459.83,5.6986,253.19
ES_003,12.443212220252974,81.83866155504883,0.7837576270103455,,458.53,5.8487,19.1582
ES_004,12.443212220252974,81.83866155504883,0.5314038395881653,,493.72,4.6191,169.4014
ES_005,12.443212220252974,81.83866155504883,0.6065157055854797,,490.2,5.3444,182.1294
ES_006,12.443212220252974,81.83866155504883,0.7309721112251282,,491.57,4.9506,31.1263
ES_007,12.443212220252974,81.83866155504883,0.6981778740882874,,461.99,4.8507,290.9921
ES_008,12.443212220252974,81.83866155504883,0.8436029553413391,,458.92,5.7433,333.5943
ES_009,12.04239482273141,82.15200449525784,0.45208561420440674,,521.18,1.3311,61.5072
ES_010,12.443212220252974,81.83866155504883,0.6587880253791809,,522.3,3.0635,338.3284
ES_011,12.443212220252974,81.83866155504883,0.5269066691398621,,491.29,9.7873,278.792
ES_012,12.443212220252974,81.83866155504883,0.5804396867752075,,506.09,3.7313,10.7273
ES_013,12.068435857968836,82.22723261787978,0.622703492641449,,467.78,1.2958,154.7644
ES_014,12.068435857968836,82.22723261787978,0.8076464533805847,,470.31,5.0932,270.5525
ES_015,12.443212220252974,81.83866155504883,0.8756126761436462,,473.71,10.7456,44.2979
ES_016,12.443212220252974,81.83866155504883,0.8651894330978394,,466.5,1.004,239.3153
ES_017,12.443212220252974,81.83866155504883,0.473303884267807,,475.33,1.6508,131.8956
ES_018,12.04239482273141,82.15200449525784,0.7209218740463257,,509.95,7.2237,109.8399
ES_019,12.443212220252974,81.83866155504883,0.7760822176933289,,461.99,10.1536,161.1277
ES_020,12.443212220252974,81.83866155504883,0.654515266418457,,495.79,4.7479,267.2662
