site_id,latitude,longitude,outlier_flag,total_plant_cover_z,clay_content_z,silt_content_z,sand_content_z,aggregate_stability_z,bulk_density_z,soil_moisture_z,as_z,cu_z,k_z,mo_z,ni_z,p_z,pb_z,zn_z,soil_p_h_z,plot_total_c_z,plot_total_organic_c_z,plot_total_n_z,nematode_shannon_z,macro_total_abundance_z,macro_order_richness_z,macro_shannon_z,earthworm_abundance_z,earthworm_richness_z,earthworm_shannon_z,orib_total_abundance_z,orib_species_richness_z,orib_shannon_z,meso_total_abundance_z,meso_species_richness_z,meso_shannon_z,coll_total_abundance_z,coll_species_richness_z,coll_nymphs_abundance_z,coll_shannon_z,bac_asv_richness_z,bac_total_reads_z,bac_shannon_z,fun_asv_richness_z,fun_total_reads_z,fun_shannon_z,euk_asv_richness_z,euk_total_reads_z,euk_shannon_z,oomy_asv_richness_z,oomy_total_reads_z,oomy_shannon_z,cerc_asv_richness_z,cerc_total_reads_z,cerc_shannon_z,eu_clay_content_z,eu_sand_content_z,eu_silt_content_z,eu_water_holding_capacity_z,eu_cn_ratio_z,eu_p_z,eu_p_h_z,eu_as_z,eu_organic_carbon_octop_z,eu_zn_z,country_enc,pedoclimatic_region_enc,soil_type_enc,land_use_type_enc,land_use_intensity_enc,dominant_vegetation_enc,eu_uso_suelo_nombre_enc,eu_soil_texture_class_enc,eu_env_zone_enc,eu_soil_type_wrb_enc
BE_001,51.099,4.975,True,0.46631420705028304,-0.2702107038277066,-0.17898256404374868,0.2695787470947122,0.5450590004056404,-1.7755800861048403,0.9010455262594689,9.598574981386454,-0.34026750285360957,-0.26808694246252374,-0.6343769928459315,-0.6607291624174956,0.39553687019482536,1.2734965530450557,1.176845222224999,-1.1659182338381282,1.3175251682737106,1.24288354867532,1.5773927656880358,0.45336869049393336,-0.26392234982359797,0.8593003893340802,0.9764921677576268,-0.07441274659037878,0.36631766534336446,0.911747767313979,0.09213716714784619,0.23221850463514626,0.6286171798867792,0.2039305200561082,0.398798868317965,0.4550105757858323,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.046727599797912286,-0.4285717977572645,0.21768787334824036,0.2939565253401415,0.013407302346059798,-0.01709419534763451,-0.12086884935980913,-0.19312772905011366,0.021593490128068524,-0.9697450598549218,-0.46366873901477357,0.7962031183051863,0.7279986130391894,0.7643297182272045,-1.1787549572515812,-1.2632435605631607,1.0083287347795544,-0.7234427484912722,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.4472402984276404,-0.26854710385736486,-0.4880330349986752,0,1,20,3,1,13,15,2,6,9
BE_002,51.102,4.978,True,0.46631420705028304,-0.6067949640985292,-0.6765555706218038,0.7784505690086475,0.3154372587466762,-0.7247086542347596,0.3513717783778986,2.710580667592394,-0.3561312504903706,-0.3919733778755939,-0.11266233090990098,-0.6607291624174956,0.47144971019710047,0.214580964224654,0.05794243321410608,-0.8268249368447663,0.9493377636194454,0.8710724093302133,1.3185818669067195,0.6326285516380014,-0.1946182417651282,-0.017063153084473304,0.1523396528157599,0.10813372973092299,0.740503729226324,0.5669974714742794,-0.013491513760934644,-0.003301684900025763,0.5295731904062921,-0.3591808514536615,-0.18977325457889377,-0.6420043641948351,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.8230109115252595,-0.44531780626745887,0.7924605833873869,0.2939565253401415,1.2625057143269471,-0.46128252901127137,-0.10888000404671569,-0.05691347244605631,0.01859023646150422,0.6413108169716945,0.0680922617579403,-0.13085078959623306,1.5884846865449227,0.3137184249698583,1.1206812441612513,-1.2632435605631607,1.0083287347795544,-0.7234427484912722,-0.5224246174646053,-0.294011899359498,1.7054654054228606,-0.4596156035654776,0.7899944226895456,-0.26854710385736486,0.684414594720878,0,1,20,3,2,13,9,2,6,3
BE_003,51.097,4.976,False,0.46631420705028304,-1.2862274597072483,-1.3498285184810914,1.5969777515577648,0.9260223445216486,-0.5126907337697434,0.22118589072173725,-0.3587148118749679,-0.42223019897687475,-0.7807204683097108,-0.060490864716297874,-0.6607291624174956,0.7231607059941181,-0.12603302167600025,-0.6469663238627564,-1.1824593702768285,0.31956830839957195,0.23510470454160273,0.6828099620265063,0.8825832074834268,-0.3332264578820678,-0.3091843338906578,0.2831724219552556,-0.15807988157097538,0.36631766534336446,1.0380951957044333,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,-0.5468846419569181,-0.7783453774757525,-0.6420043641948351,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-0.1629792664033142,2.318616922084192,0.3820030645187944,0.2939565253401415,-0.45303794312568674,-1.0114166221795295,0.28675189128536793,0.2398118981273306,-0.1782238534586036,-0.12237151425131194,-0.1700182839440447,-1.1667853251263707,-0.12549163873072489,-1.0580399017979951,0.6238681973334111,-1.073249293615596,0.9192430311982831,-0.7083202745046644,-0.8723907003455023,-0.2523162139516721,1.475930000532895,-0.3780442816905371,0.5343726783235834,-0.26854710385736486,-0.24591906049794912,0,1,1,3,0,13,15,2,6,9
BE_004,51.232,5.027,True,0.46631420705028304,-2.163685087103094,-2.2939946362019907,2.7011244482827457,0.03884743356656027,0.23398107308531366,-0.14044157498982238,-0.4825292791995537,-0.3878587457638926,-0.5756670579708358,-0.060490864716297874,-0.6607291624174956,0.9828625270545328,-0.5593310853727511,-1.0654359669528304,-0.41329652587725185,-0.524930548225435,-0.6177057883980733,-0.5439801736878845,0.9668264135032606,-0.41639138755223154,-0.6013055146968422,-0.31690357307252004,0.03967880111043486,0.740503729226324,1.2343344241715228,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,3.207191168108213,2.7530873599054,1.887905776610241,2.109916859435027,1.4062758477163753,3.121127664472637,0.41209787542381954,0.6684900627454083,1.3886713128022465,0.5192358228330921,-0.9964372474350444,-1.327314282852492,-0.3000067466289351,-0.252746147803837,-0.7315309027286927,0.5494244970490813,-1.440508140745816,-0.4016203466104306,0.867944612575804,2.6448537686535873,1.733295424527667,1.5161684288900912,-1.5190040059520435,1.5277999194442218,-1.343588803837029,-1.6136205323448576,0.9650177768025775,1.6722672577923934,-0.6663159191909973,-0.022041395814694158,-0.26854710385736486,-1.0002926324970243,0,1,15,3,0,13,15,2,6,3
BE_005,51.226,5.033,False,0.46631420705028304,-2.173201515083268,-2.282839008579568,2.6996155209039974,0.33631196253385476,-0.18083659738971794,0.11414416087111545,-0.5411782374059364,-0.4671774839476976,-1.0327652851845774,0.004723468025705948,-0.6607291624174956,-0.05194934455542792,-0.5570139834278487,-1.2511738299286386,-1.0997536880833259,-0.5451554808404676,-0.6381297766815254,-0.56756009054651,0.9142103431250811,-0.45797385238731336,-1.185547876309211,-1.3427402622414621,-0.1961103974712466,-0.007868398539594996,0.07192857843238405,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,-0.5468846419569181,-0.7783453774757525,-0.6420043641948351,-0.32591594717760985,-0.17209669465060531,-0.24492650498741353,-0.6185677000086734,0.9407410820241937,-0.7797560769458732,0.8802810271113906,0.2939565253401415,-0.08685374578774815,-1.3826828035730507,-0.1688242306121829,-0.2753574056957068,-0.6597466376408663,0.09731792349777207,-0.4170203399348205,1.3855841783973255,1.056802234622681,-0.06165815643129143,0.6775925973827571,-1.3167870264631556,1.2783549384989208,-1.095370618674984,-1.5306452458081614,-0.20987005981141474,1.6148500184391048,-0.06583534973512571,0.6080947108259753,-0.07594766764567339,-0.18345958577202856,0,1,15,3,2,13,15,2,6,9
BE_006,51.222,5.026,True,0.46631420705028304,-2.161341603690493,-1.8846843504665876,2.441809105816502,0.33631196253385476,-1.6465256997348305,1.0312314139156307,-0.4238803209931709,-0.5332764324342018,-0.9985897167947652,0.382966597929328,-0.6607291624174956,-0.5154172098324761,-0.5384771678686293,-1.380966553453902,-1.3396001664444843,-0.5179111591333981,-0.6106173138255453,-0.4348145529098692,0.8593725161350834,-0.41639138755223154,-0.6013055146968422,-0.31690357307252004,-0.2645653260917347,-0.756240526305514,-0.39746318089114563,2.028662983808828,1.1742992627758344,0.6109496432012795,0.39163431055936476,0.9873709912148237,1.4159555478647123,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-1.2151926652375384,-0.8599923479371644,-1.1657862354098538,1.5843502981153275,0.20621701029569048,-0.45606536016538196,-0.876166104084696,-0.1958611255037068,-1.0356910772055032,-0.7919012292961395,0.13714880420258377,-3.0059555072081956,0.6440487522093619,0.5881976067842022,0.2398759355609103,-1.4332685485494776,1.3529708692047695,-1.134664126661197,-1.506909807854015,0.2527023386788882,2.089384705587163,-0.48242519357058306,0.6376735339611533,-0.22174715124340774,-0.41222774335305234,0,1,15,3,1,13,15,2,6,9
BE_007,51.347,5.029,False,0.46631420705028304,-1.9654929159808459,-1.5569775958603653,2.1216473273945597,0.47199753715051546,-0.273018301939725,0.07074886498572845,-0.554211339229577,-0.4248741569163349,-0.9302385800151401,0.04385206767090822,-0.6607291624174956,0.0319543207102446,-0.5268916581441173,-0.557454100741885,-0.8268249368447663,-0.36317926442842113,-0.4543625334174341,-0.305346777347538,0.2909612760713686,-0.2916439930469859,-0.8934266955030267,-1.3427402622414621,0.5721060237142316,0.740503729226324,0.912732138593569,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,-0.3591808514536615,-0.18977325457889377,-0.6420043641948351,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,0.07248107459455413,-0.7180729376853012,0.14193014066035517,0.2939565253401415,0.34442300895398575,-0.48138519266137053,-0.6963334243882944,-1.4647645014050483,-0.29660324036865465,0.4634669864129121,0.4736168779838875,-0.07128846859626063,0.6650362174168187,-0.7341480914340306,1.3316934595979355,-1.4506110716966476,1.4396937754915067,-1.2540232725612852,-1.3469637615492929,0.4190469878060982,1.6390703641762288,-0.7267758577618416,-0.8358735926434738,1.8862193191855048,-1.073801006525449,0,1,15,3,0,13,15,2,6,9
BE_008,51.339,5.003,False,0.46631420705028304,-1.9492136348070332,-1.6099696099697682,2.145598482263583,0.47199753715051546,0.12336302762530567,-0.1230834566356675,-0.6128602974359596,-0.48832914746337897,-1.037037231233304,-0.6343769928459315,-0.6607291624174956,0.11585798597591696,-0.5292087600890197,-1.2086555239462247,-0.8929894825995687,-0.5172181424443587,-0.6099174764017777,-0.448614400668503,1.7724977663863857,-0.3332264578820678,-0.6013055146968422,-0.6759234133321365,-0.23414091337151777,-0.007868398539594996,0.6612458493395413,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,0.016226729552851628,0.398798868317965,0.5997205374243119,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-1.8479923316693097,-0.8239703584080412,-1.5048313408970964,0.2939565253401415,0.37558105775864603,1.671435430950719,-0.3966122915609583,0.22090590598997817,-0.5035087898866197,0.5471582007935155,-0.2132202618890053,-0.20973602829339574,2.022225634165699,0.2984164496770726,1.228442364093667,-1.9684816651240626,1.715521612292467,-1.344788991274698,-1.9935585189389047,0.5844793962419726,1.8615782729164165,-1.095125711245547,0.45718546981782954,-0.02579162746486699,-0.7935507686844597,0,1,15,3,2,13,10,2,6,9
BE_009,51.339,5.001,True,0.46631420705028304,-1.9597231100133066,-1.611789240068177,2.1528430055971914,0.33631196253385476,-0.4942543928597419,0.038925648003111143,-0.5802775428768582,-0.49097310540283906,-1.0199494470383978,-0.6343769928459315,-0.6607291624174956,-0.6472658266785329,-0.2071315897475846,-1.4570519431066429,-1.959892782895756,-0.46633148741767955,-0.5585299901820973,-0.4699930775690796,0.4585666581052638,-0.30550481465867985,-0.6013055146968422,-0.3726472262914482,-0.3102019451720602,-1.5046126540714329,-1.6482427398708548,5.127104290466399,2.8229405895220387,1.4167307795560207,3.3948949586114696,2.7530873599054,2.5272514072341847,-0.32591594717760985,-0.17209669465060531,-0.24492650498741353,-0.6185677000086734,0.046727599797912286,-0.4285717977572645,0.21768787334824036,0.2939565253401415,-0.5227579335202732,-2.3510633005044363,-0.12086884935980913,-0.19312772905011366,0.021593490128068524,-0.18513992503676452,-0.32796430532763743,-0.6955348687905707,-0.20944149956055252,-1.0602714398615263,0.7851279520794203,-1.9684816651240626,1.715521612292467,-1.344788991274698,-1.9935585189389047,0.5844793962419726,1.8615782729164165,-1.095125711245547,0.45718546981782954,-0.02579162746486699,-0.7935507686844597,0,1,15,3,1,13,10,2,6,9
BE_010,50.805,5.256,True,0.46631420705028304,-0.9074595157067894,1.469432583173694,-0.39954445933731975,0.33631196253385476,-0.005691358744705368,0.02446054937464881,-0.3978141173458898,-0.07322775096813275,2.722275291646067,0.7612097278329502,-0.3581698740636924,3.79962843240211,-0.197863181967975,-0.16807593016609415,0.1573726812579177,-0.49041242304348853,-0.5828479326167,-0.3756893500005838,0.498943721542607,-0.0005667392014128108,-0.3091843338906578,-0.09147750609087447,0.6938036745950994,1.1146897931092834,1.0041485925683629,-0.4360062373960579,-0.7098622535055418,-0.8646157247300631,-0.3591808514536615,-0.18977325457889377,-0.6420043641948351,-0.40711037406469774,-0.6982208754395988,-0.24492650498741353,-0.6185677000086734,-2.4955082694134476,-0.9158926928920578,-3.744978695778062,0.2939565253401415,0.4422160928260384,-1.1607345467488517,-0.2287684571776501,-0.13929500445018242,-0.02791353085826236,-0.30021534481009426,-0.23892108269493387,-0.5579661189374844,1.6094721517523798,-0.26233718657313754,1.0499490858452882,-0.18398541667173424,-0.896142537901506,1.4617241484597303,-0.6499179940596507,-0.7506995636524232,1.8930665720457733,0.31990887238558646,1.1834363069003278,-0.9611773675192735,0.193292037214881,0,1,13,0,1,12,1,7,6,7
