variable,XGBoost gain,Permutacion (R2)
soil_ph_z,0.041870415,0.0716712236404419
p_z,0.029018663,0.043788349628448485
gee_temp_media_C_z,0.0368367,0.041179603338241576
dem_elevacion_m_z,0.033219296,0.03364303708076477
soil_moisture_z,0.028452083,0.03236739039421081
eu_as_z,0.038813774,0.03120432496070862
eu_p_z,0.033664696,0.030588984489440918
k_z,0.02675412,0.030348098278045653
gee_humedad_rel_pct_z,0.03497475,0.02943381667137146
dem_orientacion_deg_z,0.023066813,0.027745723724365234
