variable,importancia_permutacion
cu_z,0.010485100746154784
as_z,0.018543070554733275
soil_moisture_z,0.020573681592941283
pb_z,0.021869587898254394
ni_z,0.023724299669265748
plot_total_organic_c_z,0.026496189832687377
plot_total_n_z,0.03109886646270752
eu_sand_content_z,0.03151176571846008
eu_water_holding_capacity_z,0.03325954675674438
sand_content_z,0.03730913996696472
