variable,importancia_permutacion
cu_z,0.009478956460952759
as_z,0.015403431653976441
soil_moisture_z,0.016985023021698
pb_z,0.023350024223327638
ni_z,0.025167632102966308
eu_sand_content_z,0.027301400899887085
eu_water_holding_capacity_z,0.02774166464805603
plot_total_organic_c_z,0.027882111072540284
plot_total_n_z,0.029725319147109984
k_z,0.03351179659366608
