variable,mean_abs_shap
clay_content_z,0.005169410924904957
soil_moisture_z,0.006418930043111685
total_plant_cover_z,0.007268344254974592
dem_pendiente_deg_z,0.008768122186291598
dem_orientacion_deg_z,0.00880829384025265
plot_total_n_z,0.009216752016098314
zn_z,0.011335283723668634
eu_organic_carbon_octop_z,0.011841738411335125
eu_silt_content_z,0.011992547877765962
eu_sand_content_z,0.012136131767555817
