variable,mean_abs_shap_global
total_plant_cover_z,0.006927333503865477
aggregate_stability_z,0.007766481599349592
cu_z,0.00883757601060537
ni_z,0.009018132897416247
dem_pendiente_deg_z,0.010227353250886992
dem_orientacion_deg_z,0.011392787878332526
as_z,0.011544252843007238
bulk_density_z,0.011607119579686718
gee_ndvi_verano_z,0.012798435998544527
pb_z,0.014676470704266965
