variable,importancia
eu_water_holding_capacity_z,0.0039103907
gee_ndvi_verano_z,0.0033724315
eu_silt_content_z,0.0032854036
eu_zn_z,0.0032119467
plot_total_organic_c_z,0.0029767335
k_z,0.002594106
dem_pendiente_deg_z,0.0020334907
cu_z,0.0019305518
pb_z,0.000832628
dem_orientacion_deg_z,0.0
