random_state,nematode_shannon_z_r2,nematode_shannon_z_rmse,nematode_shannon_z_mae,macro_shannon_z_r2,macro_shannon_z_rmse,macro_shannon_z_mae,earthworm_shannon_z_r2,earthworm_shannon_z_rmse,earthworm_shannon_z_mae,orib_shannon_z_r2,orib_shannon_z_rmse,orib_shannon_z_mae,meso_shannon_z_r2,meso_shannon_z_rmse,meso_shannon_z_mae,coll_shannon_z_r2,coll_shannon_z_rmse,coll_shannon_z_mae,bac_shannon_z_r2,bac_shannon_z_rmse,bac_shannon_z_mae,fun_shannon_z_r2,fun_shannon_z_rmse,fun_shannon_z_mae,euk_shannon_z_r2,euk_shannon_z_rmse,euk_shannon_z_mae,oomy_shannon_z_r2,oomy_shannon_z_rmse,oomy_shannon_z_mae,cerc_shannon_z_r2,cerc_shannon_z_rmse,cerc_shannon_z_mae,macro_order_richness_z_r2,macro_order_richness_z_rmse,macro_order_richness_z_mae,earthworm_richness_z_r2,earthworm_richness_z_rmse,earthworm_richness_z_mae,orib_species_richness_z_r2,orib_species_richness_z_rmse,orib_species_richness_z_mae,meso_species_richness_z_r2,meso_species_richness_z_rmse,meso_species_richness_z_mae,coll_species_richness_z_r2,coll_species_richness_z_rmse,coll_species_richness_z_mae,bac_asv_richness_z_r2,bac_asv_richness_z_rmse,bac_asv_richness_z_mae,fun_asv_richness_z_r2,fun_asv_richness_z_rmse,fun_asv_richness_z_mae,euk_asv_richness_z_r2,euk_asv_richness_z_rmse,euk_asv_richness_z_mae,oomy_asv_richness_z_r2,oomy_asv_richness_z_rmse,oomy_asv_richness_z_mae,cerc_asv_richness_z_r2,cerc_asv_richness_z_rmse,cerc_asv_richness_z_mae
100,0.14270744434369786,0.9144112160515294,0.7306680900412713,0.26818266365837173,0.8592252802243924,0.7187353540064353,0.4976700532860313,0.7074566347443103,0.5082730217735558,0.15865778898788419,1.0489075245671218,0.8955478155608363,-0.22570198999641278,1.081186038543844,0.8960789751789882,-0.41575179893021263,0.7537801267235095,0.625294750733986,-0.01793525841333521,1.0103189162000157,0.6768626215742821,-0.027386045375933143,1.1596843940627108,0.9364840676572175,0.15425933407930803,0.8918894061026434,0.6311094192880958,0.08663834719318053,0.9990603719145601,0.7353572254839129,-0.021696188424098706,0.9051670657477839,0.6283592997169216,0.3012649278966356,0.7655366934013381,0.6423467633706784,0.5417401899400729,0.6181871533517174,0.45603312246521455,0.23037510523419802,1.0496277681157025,0.7161180212881294,-0.06128517686444179,0.9936278839855016,0.7507302989420934,-0.5965290200986693,0.6505433678124746,0.5198589716054308,-0.02928491205583117,1.114785057556003,0.8258192822817353,-0.013399033991044806,1.084990790273785,0.8145498159463398,0.24269433106369387,0.7064962798298456,0.5102604366870536,0.17257315442484078,0.9136078641011032,0.7422812861495278,0.09632043682788427,0.9378705647478222,0.7668380523100321
110,0.1577812093269152,0.9063365234737155,0.7283980141604618,0.2815648467946299,0.8513330365913916,0.7097350062270279,0.5188931978015143,0.6923505438665001,0.5055494211374797,0.15925702436808276,1.0485339224532675,0.8916845066693937,-0.1933304043450783,1.066813091064943,0.8893449684489414,-0.4607098821347433,0.7656549697462706,0.6375734943145861,0.024625546992703473,0.9889722230196498,0.663026070458934,-0.04694327742893911,1.1706701853813237,0.9436036923572618,0.15878568706424734,0.8894995350732833,0.6310226587060122,0.08993747726105095,0.9972543995122735,0.7377251851540657,-0.021234951942082914,0.9049627275075037,0.6295091178063735,0.3104549167874271,0.7604857378088691,0.6327594821272807,0.5570863211709337,0.6077481378873417,0.4405731008196788,0.21576237808525378,1.059545458386709,0.7135508167411444,-0.06372967695795828,0.994771556985875,0.7560511897833013,-0.49939938940526507,0.630443991401021,0.5033626232979892,-0.0028252938785633397,1.1003629912996338,0.8145946379334966,-0.01998160018447881,1.0885088829304617,0.8191597580263137,0.22692502973224993,0.7138140330998433,0.5189816856471141,0.18505357453626226,0.9066915225336147,0.7385961940303369,0.10823856613643756,0.9316655103411177,0.7613956056829541
120,0.13424026079697404,0.9189157833143057,0.7327768244780872,0.2821641021717394,0.8509779089741831,0.7085981626190101,0.5038853563211863,0.703066349693966,0.5060891834650194,0.1578518827348946,1.0494097689507338,0.8959391567260728,-0.19766879140764493,1.0687505466063565,0.8876097260365281,-0.3918174751956569,0.7473813642349112,0.6166547706253889,0.010129110690301535,0.9962943832026193,0.6697296510179572,-0.03439971430837385,1.1636360771300567,0.9398393783841437,0.16352686926561677,0.8869893314464389,0.6309573938702444,0.09509718201271544,0.994423356485109,0.7309559106312711,-0.030699244768920053,0.9091464268678744,0.6298549895972453,0.30782836843785377,0.7619327454784791,0.636632631908644,0.5566304963971791,0.608060789575269,0.4453386179276887,0.22424790929959293,1.053797673124123,0.7159683456357256,-0.0445788088597554,0.9857761961413471,0.7446978589553243,-0.5262329734800131,0.6360602580979801,0.5100761583065835,0.00801905652458057,1.09439726773603,0.8108939122033031,-0.01700648064648158,1.0869202224107108,0.8137782883663212,0.21420202152311107,0.7196639182657817,0.5206440193123963,0.1686714122251567,0.9157593956547285,0.7531444973848248,0.10997891148137662,0.9307559556505196,0.757218863749135
130,0.1310809132821441,0.9205909192708639,0.7327325014820364,0.2743362368617739,0.85560520516702,0.7149575754612553,0.49997761792321005,0.705829834413809,0.5120146087947482,0.15994945936080074,1.04810204781776,0.8926890733777109,-0.18044648089144122,1.061038479551434,0.8833679155634466,-0.3708801104894426,0.7417385651625683,0.6196880066163799,0.0018999121470822944,1.0004271115459944,0.6717586433332279,-0.03292966900508243,1.1628089278589064,0.9395021589054406,0.16900068854972106,0.8840823710939933,0.6268831411679308,0.09721242699505472,0.9932604251541295,0.7340901851617561,-0.039018392214151376,0.9128080783697547,0.6299600680215415,0.3027245998479432,0.7647366644068799,0.6420301351079716,0.558856822524459,0.6065322165631183,0.4457205695339791,0.21194302251022556,1.0621223978204029,0.7202650496683605,-0.04448456440160742,0.9857317255670485,0.7458299180543031,-0.5170575437077729,0.634145437679489,0.5008205403981567,0.009525492704864136,1.093565968486734,0.8107937347614108,-0.019121206626325993,1.0880496865992948,0.8144219981098082,0.23783501678400976,0.7087593012408708,0.5231970473588768,0.18415081603739392,0.907193578188729,0.7435151447173121,0.12475249198751859,0.9229987582138262,0.7567370713729532
140,0.14606944758172502,0.9126164533350555,0.7306808645090596,0.27052203329133984,0.8578508563359983,0.7157688214581375,0.49425434820176306,0.7098578148113911,0.5132763688024607,0.14257443345031318,1.0588856827691524,0.9020169767199869,-0.19946161055586087,1.0695501666429437,0.884829055301495,-0.4235193601281022,0.7558451158953329,0.6250463287324566,-0.009491259183063372,1.0061197798840047,0.6684078532272533,-0.03716942743091978,1.1651929141600097,0.9395317161971456,0.16514080764165362,0.8861332146974735,0.6270116926777811,0.08080452654148218,1.0022458909959913,0.7420046856121353,-0.03570140039806646,0.9113498764247646,0.6342409694957332,0.3164546532884066,0.7571700137048932,0.633415972044077,0.5536185073641409,0.6101226955606516,0.4561037995153929,0.21475625460547287,1.0602249028821178,0.7217742245917829,-0.048788897988377045,0.9877607435262097,0.7502513191684979,-0.6404328141377658,0.6594275222115651,0.5187544855428683,-0.0034812046000691765,1.1007227857277975,0.8162945165071324,-0.01893518328196242,1.0879503795309318,0.8175262306471678,0.23679004632640244,0.7092450089678511,0.5208147712143115,0.19810779507402299,0.8994002862316277,0.7357817464922705,0.11583921276443054,0.9276866358251711,0.7531080897138627
150,0.14034779298345024,0.9156687849893352,0.7212431232350232,0.2919520257322956,0.8451563171692479,0.7095384652274669,0.49315728075796894,0.7106273123136547,0.518500343391648,0.16842970936657697,1.0427983712768245,0.8916639688439139,-0.19853902566944415,1.0691387567957735,0.8922733216816366,-0.3813245523587294,0.7445587773173393,0.616922178841432,0.010796178302202808,0.9959586284458288,0.6702304951337523,-0.021067298133048196,1.1561126819600378,0.930311949688442,0.16483547533728093,0.8862952422375913,0.6292355497868561,0.13218340993097422,0.9738326250155872,0.7210997502772781,-0.03711032521767432,0.9119695468594963,0.6304766725163746,0.31503649308277004,0.7579550618468437,0.6362561379882147,0.5284833745980096,0.6270650496703972,0.45933516463396223,0.24904686974552948,1.036817153908814,0.7155001891599417,-0.05529970889408853,0.9908219760102339,0.7548426811795761,-0.5471663276832737,0.6404074087759878,0.5056092680712184,-0.007161210066874535,1.1027392455051555,0.821429494709106,-0.022284332464534096,1.0897369106855408,0.8129976986597736,0.25064534682573425,0.7027777118250552,0.5106927758665134,0.19815712554377196,0.8993726213405668,0.7337371662519422,0.11285346820930287,0.9292516797177754,0.755995337914724
160,0.12366127529443005,0.9245129945247794,0.7405783564651074,0.27790691503363485,0.8534975773262731,0.7189999019205231,0.48336419933392527,0.7174597434136165,0.5225246175179616,0.16178573227544912,1.0469558939791732,0.8940801746983369,-0.1774395137636986,1.0596862190810357,0.8776201159510857,-0.4425485910051805,0.7608803134118489,0.639258808114518,-0.003401722425536935,1.003080590117608,0.6737202425599794,-0.025148478707406108,1.1584208546389314,0.9323585415302127,0.17593895687928762,0.8803838974451444,0.6252389135023757,0.10874695351615915,0.986894797552759,0.7307083468987147,-0.021820563505836388,0.9052221588385994,0.6265343222546776,0.30279504726855333,0.7646980318333957,0.6362660810942662,0.5449311147357685,0.6160311334146185,0.45422858249121795,0.219785407626801,1.0568243039555867,0.7341846486256243,-0.043321946635457076,0.9851829628828906,0.7501993041638932,-0.6167830267383838,0.6546568488631849,0.5147600935268889,-0.03716712304693348,1.1190454000976449,0.8290626036830346,-0.025788152825172883,1.0916028183141142,0.8153089681070868,0.2569959333530303,0.6997934461437901,0.5159835634835594,0.1773357381918712,0.9109747532342259,0.7445534443058421,0.11958158509354577,0.9257212521841873,0.7525225321535314
170,0.14965361063917615,0.9106991980857795,0.7254005050313185,0.24983259009012415,0.8699309777373685,0.7276677086565204,0.5146542560179216,0.695393940251565,0.5052372002285046,0.1531261954776476,1.052350014644677,0.891294609983437,-0.19655945400941377,1.06825546832291,0.886006026819824,-0.4065500864360694,0.7513265274855933,0.6209539617054296,-0.0011565016912153947,1.0019577105415787,0.6803663947626103,-0.027220452984350496,1.1595909322857334,0.9333867105850846,0.15386669128076513,0.892096415964391,0.6330505037319989,0.10392971480065016,0.9895582953879788,0.7332971199297978,-0.02016743836223256,0.9044896176758009,0.6290524997412918,0.290916230835491,0.7711848920639721,0.648032767567771,0.5404107469606547,0.6190832055029233,0.4569325400858773,0.22346151562593497,1.0543316645389325,0.7183334539090446,-0.03763351946666904,0.9824935719391562,0.7402099664553085,-0.5400661305529058,0.6389362522749091,0.5066950565085795,0.007901152464022787,1.0944623042917498,0.8127282965675845,-0.024859968353421857,1.091108838106432,0.8142788554169188,0.2641804031688827,0.6964019050174154,0.5034020693356746,0.19105283468419398,0.9033480352206391,0.7318260050750506,0.10928421781772568,0.9311191291475174,0.7603216617197429
180,0.12725139562011734,0.9226173124357396,0.7381085125641047,0.26640320698515374,0.8602692742483866,0.7236419414119659,0.4988336987529419,0.706636749312428,0.5165971601606675,0.16241939351051382,1.04656008778879,0.8920510489514945,-0.18971294043144327,1.065194894230565,0.8836800174062418,-0.43036426892894264,0.757660154942817,0.6205435040336532,0.0020461388180305073,1.000353825065889,0.6593338925209657,-0.05220514558659861,1.173608353983557,0.9433519841909327,0.16676212683986325,0.8852723491680696,0.6246722636903379,0.11194075345200505,0.9851249447775392,0.7326619452384425,-0.020898372369379636,0.9048135859859465,0.6304164564959343,0.31092486287820353,0.760226546479953,0.6340949539608982,0.5456229074329817,0.6155627121052277,0.45218606379756476,0.24720993056733753,1.0380844811782235,0.7073867955505512,-0.03087220784285516,0.9792873329400318,0.7448775617112893,-0.5276000085817965,0.6363450514739173,0.5073335760635183,0.010575898256610428,1.0929859472617545,0.8138575410952432,-0.01570228601606738,1.0862230733267932,0.8115061454824124,0.2492086729385089,0.7034510771743194,0.5182531988209658,0.18739042239058679,0.9053906264488929,0.7335929362571004,0.13142885088509682,0.9194717173771857,0.751858520580336
190,0.1723968578889974,0.8984379403928127,0.7234013939114735,0.27396336417556144,0.8558249976214272,0.7159016104948571,0.5076830299059569,0.700370253317395,0.507324577164592,0.16230699936687676,1.046630303883882,0.8916323916195078,-0.1814165190011734,1.061474347003753,0.8787987251133473,-0.4105457083931976,0.7523929267009266,0.6281545322444605,0.024379332489309347,0.9890970386426506,0.664229460037816,-0.03278323032374075,1.162726499090157,0.9368322017243776,0.18266736030861663,0.8767823929782109,0.6179544868618164,0.09850501883261265,0.9925491059889825,0.7400211122521644,-0.047363251005104745,0.9164663491103211,0.6309412503387563,0.31050836100418666,0.7604562659489653,0.6339464784862322,0.5356921635437834,0.6222531404229917,0.45398088753358595,0.2258142384280415,1.0527332686347308,0.716098822534225,-0.047301831647213355,0.9870602275313903,0.7457156881373915,-0.5040749093713839,0.6314261710580903,0.5032177248411666,0.015642503938366747,1.090183894856354,0.8145921516550103,-0.020111300539522592,1.0885780878557025,0.8137448509637496,0.228874062681083,0.7129136514331916,0.5172709619370546,0.19058158831722338,0.9036111163704127,0.7395013680352124,0.12904081722031835,0.9207348391512101,0.7490247210225035
