random_state,r2_global,rmse_global,mae_global,nematode_shannon_z_r2,macro_shannon_z_r2,earthworm_shannon_z_r2,orib_shannon_z_r2,meso_shannon_z_r2,coll_shannon_z_r2,bac_shannon_z_r2,fun_shannon_z_r2,euk_shannon_z_r2,oomy_shannon_z_r2,cerc_shannon_z_r2,macro_order_richness_z_r2,earthworm_richness_z_r2,orib_species_richness_z_r2,meso_species_richness_z_r2,coll_species_richness_z_r2,bac_asv_richness_z_r2,fun_asv_richness_z_r2,euk_asv_richness_z_r2,oomy_asv_richness_z_r2,cerc_asv_richness_z_r2
100,-0.052738647430171405,0.9606714469187707,0.7111666909324794,0.009679734292516229,0.2328343171908679,0.36345295041941783,0.2470974516714941,-0.19586288595753,-0.9851434379305377,-0.08239506285039866,-0.07891117717549312,-0.0012563170718478123,-0.002660314962058763,-0.18211161017799626,0.31888804263295556,0.4683122656347183,0.30661679285006826,-0.04211377223570545,-1.6088431783103285,-0.1403952548346883,0.03373367928833271,0.0725747897393374,0.1259071956015141,0.03308419615176261
110,-0.041965580963184035,0.9638874859823551,0.7152114358582973,-0.04487621121272478,0.10487539469324159,0.39918349201193504,0.19754038090578396,-0.327892586719269,-0.7581808764674567,-0.04672165426745312,-0.15374263950613032,0.15196345279963963,0.06698135933818128,-0.04382319494730558,0.13809781046068959,0.5185248985566967,0.24135257074102223,-0.1049421794128107,-1.4864913712544432,-0.1105136051399771,0.0035474506422314978,0.26609986334178304,0.06789770059294764,0.039842744616553794
120,-0.16442769349544156,0.9905624160154659,0.7267545265235665,0.07797929942429915,0.26757206620556295,0.33418056724019707,0.24110175161825975,-0.6648312361166684,-1.5519030067713024,-0.11857531590070391,-0.04661526754883516,0.14185807527593053,0.06322246065730153,-0.08841508994058311,0.3241353024261978,0.45888069599871684,0.29110667012436886,-0.3893293662680517,-2.730654462721349,-0.18156584055919822,0.00623764124809012,0.23301345047851085,-0.11712222249583548,-0.0032577357791809813
130,-0.11656145964921537,0.9767723589604446,0.7256200288942642,0.07624671026331997,0.24709800753690614,0.2732153468714884,0.2596445891760465,-0.4269851891301084,-1.3880663554388164,-0.05256176918788813,-0.07590555638545893,0.13730034656261814,0.08587533378730983,-0.11908724522494585,0.3208767136958456,0.38554165068055324,0.2544376669438052,-0.2190063623009071,-2.223235548708831,-0.09094288594310873,0.049897101180365055,0.14954038874183195,-0.04317804821382687,-0.04849554753972107
140,-0.10041920476544434,0.9777727242183335,0.7214688297208588,-0.010409525800803232,0.25580027005034434,0.2488777213104707,0.21164371447064745,-0.421739762457942,-1.1709390136778528,-0.06003839853177695,-0.04581995342267153,0.09351729614153714,0.10790257777953349,-0.11795878641956214,0.3473108680890268,0.33006963960100044,0.2729099709461922,-0.25182022313749464,-1.8699987344115656,-0.09378578742047239,0.003751482181599153,0.1499623870494743,0.002898104725898021,-0.09093714713991341
150,-0.10034415184467095,0.9816293243531441,0.7255086236728678,-0.007986897472444188,0.16246284030561153,0.28351739611739846,0.23751098089681977,-0.4211295146525609,-1.034973998767979,-0.13936017579667537,-0.0987785971051971,0.047301414753826765,0.11264297271294921,-0.06370562462124219,0.2845186766858664,0.35013110389931323,0.31890274708559796,-0.21725400281884277,-1.7730202905919232,-0.21688348306857974,-0.030583658253533708,0.0907968181801958,-0.028729120989598567,0.037393224762908184
160,-0.18496320850014497,1.0024542835023853,0.7298122018888835,0.035406718592683295,0.22378969107261004,0.3654563736459243,0.163426723937811,-0.7455188148212386,-1.4824981401378299,-0.11660049836432829,-0.09619767282720049,0.07667470319655834,0.09199688959652619,-0.10868642460251365,0.2543152138643048,0.46492617096614464,0.19879406777577013,-0.5269796522613104,-2.6687975510521875,-0.1571795701053329,0.030727666384984365,0.0746120930945996,0.0551347425273091,-0.017030108986328507
170,-0.13571971160600038,0.9945602710985558,0.7310628860406406,0.051017289327736304,0.1467130436533851,0.37320236232710624,0.1950155569392169,-0.41378443734612724,-1.209242913346729,-0.22951778760514707,-0.15729319039103262,-0.004241243700946251,0.10121019529582342,-0.0794383017159126,0.2511688719983354,0.4873420961538528,0.18418866804950274,-0.24429678167055568,-2.0672328329982785,-0.27692987793869994,-0.044005588962495734,0.09061476322724427,0.03080545526334466,-0.03540929028563089
180,-0.12144129018013063,0.9889420942918022,0.7211471088243528,0.030389777416377273,0.13091006010299133,0.3492032411211007,0.23717985720813284,-0.649320406690344,-1.0823970260511406,-0.12563532480080974,-0.1701435535319955,0.10302361957825423,0.16244507158177435,-0.12862662058588947,0.23174891517926133,0.43231991638948675,0.2813781918058018,-0.40239557722478914,-1.9908355507773452,-0.19240131816986428,-0.024394596859914408,0.23887804041255434,0.08119092978465925,-0.06278473967104525
190,-0.15614361753787295,0.9947793013519438,0.7303730123677171,0.014221507064210215,0.12553432244055862,0.3366190458441568,0.19818635447671173,-0.5436960393306725,-1.2573795382793467,-0.10203669743358224,-0.08247531966822086,0.02381894456285527,0.03757136707045927,-0.24219313070167936,0.25001326510857624,0.4553691136858933,0.2222213891943695,-0.34068224445626494,-2.422511163805731,-0.10049918758071774,0.017718277503213975,0.09640421635907048,0.07832750563682189,-0.04354795598601413
200,-0.08880551160585702,0.9691403653299859,0.7138129710603268,0.08283415205049638,0.25752262163574313,0.3379081784445853,0.3284365520794983,-0.29427373205109975,-1.2012067927171532,-0.1236126774334958,-0.08137993008537436,0.09905009468365333,0.01154540040309493,-0.20684228201065502,0.27967339620282305,0.42884922888231347,0.38217830198663716,-0.11689452179357995,-1.9583067420169957,-0.16025160509871705,-0.009952198280696045,0.19186526472291665,-0.030116167621491607,-0.081942285705501
210,-0.19519951335389246,1.0077653087491305,0.732818842733129,0.038841667330477,0.2635175717760161,0.17618401211576518,0.1255423210465917,-0.5260802361684835,-1.3807086960888197,-0.2575191977173037,-0.01913186211639384,0.11807334323196805,0.013643670535617325,-0.2468950296820731,0.3298778001057009,0.29340007357048137,0.1448350303093392,-0.31132411277754746,-2.8429527099115592,-0.27819797467664475,0.034293348266817514,0.2201111331107991,0.020201041197323244,-0.014900973889811153
220,-0.0638118202795687,0.976271087577726,0.7232438079499294,0.029750824329462633,0.18463668231013242,0.3831478943423039,0.2601391732157122,-0.33705452859939156,-0.7429467129768259,-0.17665149250699197,-0.13110691653600282,0.08337706942107315,0.011667882991561518,-0.2519884069617315,0.2589201018534171,0.4789683196916258,0.301847333204034,-0.1848532918549075,-1.2863029807689266,-0.26439797303790047,-0.050202305741565256,0.07525158321331216,0.0518594618265924,-0.03410994328592687
230,-0.20803104064294023,0.9988673790983752,0.7310436381064819,-0.002177514989421203,0.09390011803058784,0.4659797118055089,0.20693706892317276,-0.44656428214560906,-1.9249742363343003,-0.15779584766717636,-0.053693827741930766,0.060041971579149145,-0.013195524254546509,-0.11569971268770796,0.21707791755529438,0.5179828961972783,0.2803110485841358,-0.21875562425189665,-3.224763401869261,-0.24383708301753337,0.029616256735469304,0.1779096943868098,0.001605628442616247,-0.018557110782384534
240,-0.019075837386513195,0.9727814498200029,0.717976956255667,0.05141293716210571,0.26259931781239443,0.3340124338530094,0.2026510628149909,-0.4960050296055569,-0.2707355983186843,-0.14993254520401167,-0.11406793209327848,0.07938460012107695,0.044290461297739836,-0.18845790589153988,0.37159369522640706,0.44767699379857606,0.2534363983535247,-0.2707868678987333,-0.6171959317464699,-0.1622308805131083,-0.047625820863029356,0.08348214824377886,-0.0981277994280203,-0.11596632223794856
250,-0.08641713560847594,0.9828955825008963,0.7312534327472439,0.041116090169456054,0.17057401438353237,0.4087831995781598,0.17787927677067072,-0.4825427098518693,-0.8870891719122618,-0.11182715501612162,-0.1251134320252918,0.07117305371140636,0.05107370960443336,-0.26205549953770313,0.28423110571263654,0.45191732496325576,0.23364885197849927,-0.26670718591475584,-1.5011575355527378,-0.13409424985961027,-0.04419488638202851,0.17892140468523443,-0.033632904843927,-0.03566314843897267
260,-0.1330873316524228,0.994521543263052,0.728773078595258,0.05313674560638004,0.2663021538031648,0.3827393215597481,0.19254525257402788,-0.5482131249482791,-1.1386075917309393,-0.2272222818586198,-0.10914149548539087,0.09223052448437674,0.04584258941396446,-0.10223011411118232,0.3804575854802855,0.4739029787470088,0.20641703843030257,-0.33537660681037607,-2.078165721442055,-0.2708286478584352,-0.04923523280185926,0.1845860181614174,-0.12883792582430487,-0.08513543009011393
270,-0.2174798376506417,1.009828694800342,0.7375606362021332,0.11445473297190434,0.2007921668811995,0.3481325023821309,0.2757159208084393,-0.5755101360365285,-1.8278875149484692,-0.2913385261224646,-0.17566000950486438,-0.0433009115310421,-0.01886066032552436,-0.20230717926497244,0.3301146461860852,0.45061010746115837,0.35179909829576683,-0.342026214527706,-2.8860284309995032,-0.3195271998781364,-0.017060988910635455,0.110784879367263,-0.002550799573755924,-0.04742207339382132
280,-0.19949655150958778,1.006831132990046,0.7343565483577299,0.05059372302131693,0.20843826626390527,0.39288036512061486,0.2864068443598633,-0.5954943905241499,-1.5992493033814488,-0.3228205348101745,-0.1328245980491296,0.03434846559518101,0.02048199758459579,-0.14983478582385956,0.27414590441371556,0.4805011916944658,0.29435661655110057,-0.37520688181832074,-2.750853803056654,-0.34644079527276106,0.003035731485522941,0.11321528217925791,-0.032598489516208806,-0.042508387718176
290,-0.09298511659280491,0.9814673636353191,0.7270178410867928,0.06816239541558133,0.1274101909329629,0.2976768171385311,0.26784939561177745,-0.36645022818839634,-0.9028963096467695,-0.21806978956374068,-0.10906070323722483,0.04108466277232903,0.03859582001750428,-0.1253290798806166,0.19365620339781442,0.37347878053752215,0.32455646397437476,-0.19146676770165993,-1.6792209406107217,-0.2316907510685433,0.0017569763023577156,0.15434700459794415,-0.00972304304416749,-0.007354546205762258
300,-0.12293396492424324,0.9880011917130431,0.7266367590331209,0.0835528552244682,0.1912233352024515,0.4075299311189663,0.24023175506286154,-0.8274169948704255,-1.139146078305561,-0.05262951256156234,-0.24009926956043692,0.1231750853902156,0.07826219112361044,-0.08215101298827876,0.3422130385507077,0.46449013340472667,0.29072944493619124,-0.5219666244552377,-2.014508634346744,-0.05353693174310292,-0.011105389411606437,0.14755457248214743,0.03829727004998207,-0.0463124277124809
310,-0.06721860484389934,0.9678377626938915,0.7138484709285321,0.08317270960189749,0.23894159788074676,0.35445722705953975,0.2706224784735526,-0.38893840881106656,-0.8768412154955909,-0.13453927918416508,-0.03372357429468398,-0.004194071658780496,0.10850971628141981,-0.24561174558414223,0.32769711253975586,0.4607070455030968,0.2990119894926625,-0.17527038648562354,-1.6545569195070593,-0.1623776473427183,0.015517895141821225,0.09331141282832145,0.08583196602637766,-0.07331860418724778
320,-0.052482940117071095,0.9721395574479058,0.7179527692504797,0.0421821881658464,0.168024183783539,0.3841405018312295,0.2731344633376839,-0.4385896801578899,-0.6924421066844759,-0.13593812295050767,-0.10875292242790624,0.089738567606784,0.051705084903866605,-0.10183073048155045,0.22603314339998293,0.4924272702941508,0.3233785274192914,-0.19584898513794857,-1.2549422307913458,-0.1872027546971191,-0.12255455079807231,0.14551348706724365,0.0518549737362376,-0.11217204987753271
330,-0.06053031684978188,0.9707535924971025,0.7186679194389164,0.11912413414913459,0.18870104174124247,0.309906320779363,0.20690379177977292,-0.45026969196365974,-0.8964720889720441,-0.09893338147494779,-0.08991557926076799,0.11215839735018995,0.06618286418272146,-0.06804029117306176,0.3031216983025177,0.389566782928394,0.2371331325282685,-0.2510279069137962,-1.500918850435617,-0.09256364135949458,-0.01645272683266419,0.32034622067510643,-0.054815036420327035,-0.004871843455750202
340,-0.03795253962434492,0.9607204159798687,0.7105887423851567,0.038312438312139485,0.2239559365882109,0.3537889868802412,0.3115230853607247,-0.23592855832042137,-0.8296230903713617,-0.18230706028428378,-0.07411201103254772,0.10402677412336814,0.027357512818136587,-0.20605829180276403,0.26114893740614353,0.4006477273749428,0.3820661465404057,-0.09439404891830772,-1.2814945756532543,-0.2032168810849091,-0.014369993741057296,0.1838027467617902,0.0280562085431445,0.009814678388415876
350,-0.0753335046342796,0.975910676964393,0.7266754718331403,0.020164875824939532,0.2574412592773001,0.2989906202617687,0.18533513822811054,-0.4201202791009089,-0.9660350026600384,-0.05549173258659157,-0.03767676284638877,0.10505329548590558,0.04178365401539064,-0.1539140771899863,0.32883308295719615,0.4065347234557809,0.19455886807812273,-0.20497993121887936,-1.4886214495958745,-0.1261879234097978,0.011229276296433666,0.11884739887506901,0.009908179303508957,-0.10765681077093281
360,-0.09009315005404643,0.9789993418398766,0.719310827865228,0.010718997970274535,0.14997749421592454,0.42205759672355203,0.22327378972694867,-0.30883353645408707,-1.0324436743331833,-0.11230528206420565,-0.17084629918005967,0.08833559502930921,-0.02233772844590809,-0.1660997846323211,0.18871605389738044,0.5171482169208332,0.2720016840072128,-0.09848491996478259,-1.7066161903225638,-0.15885264713692737,0.033303324883343866,0.13597726660299492,-0.020067540390387606,-0.13657856818832292
