Modelo,R2,Accuracy,Kappa,F1-macro,RMSE
RF Multisalida,0.1143,0.4022,0.1694,0.3366,0.8947
RegressorChain,0.0901,0.4242,0.2228,0.3895,0.8982
XGBoost Multisalida,0.0832,0.4352,0.2329,0.4121,0.9006
XGBoost Individual,0.083,0.441,0.2385,0.415,0.9021
MLP Estandar,0.0757,0.4081,0.1797,0.3555,0.9105
RF Individual,0.0753,0.4198,0.2051,0.3811,0.9067
MLP Custom,0.0481,0.4139,0.1798,0.3659,0.9237
Ridge,-0.1397,0.4029,0.1533,0.3681,0.9956
