site_id,latitude,longitude,outlier_flag,total_plant_cover_z,clay_content_z,silt_content_z,sand_content_z,aggregate_stability_z,bulk_density_z,soil_moisture_z,as_z,cu_z,k_z,mo_z,ni_z,p_z,pb_z,zn_z,soil_ph_z,plot_total_c_z,plot_total_organic_c_z,plot_total_n_z,nematode_shannon_z,macro_shannon_z,earthworm_shannon_z,orib_shannon_z,meso_shannon_z,coll_shannon_z,bac_shannon_z,fun_shannon_z,euk_shannon_z,oomy_shannon_z,cerc_shannon_z,macro_total_abundance_z,macro_order_richness_z,earthworm_abundance_z,earthworm_richness_z,orib_total_abundance_z,orib_species_richness_z,meso_total_abundance_z,meso_species_richness_z,coll_total_abundance_z,coll_species_richness_z,coll_nymphs_abundance_z,bac_asv_richness_z,bac_total_reads_z,fun_asv_richness_z,fun_total_reads_z,euk_asv_richness_z,euk_total_reads_z,oomy_asv_richness_z,oomy_total_reads_z,cerc_asv_richness_z,cerc_total_reads_z,gee_temp_media_C_z,gee_humedad_rel_pct_z,gee_ndvi_verano_z,dem_elevacion_m_z,dem_pendiente_deg_z,dem_orientacion_deg_z,eu_clay_content_z,eu_sand_content_z,eu_silt_content_z,eu_water_holding_capacity_z,eu_cn_ratio_z,eu_p_z,eu_ph_z,eu_as_z,eu_organic_carbon_octop_z,eu_zn_z
CH_030,47.48,8.175,True,-1.0805370281174844,0.8095662001998083,0.1443819141694356,-0.5607148927560732,0.0545034614069442,-0.0702185519297093,-0.0767951410245879,0.3190064829543435,-0.4142983251584943,-0.4475086765090391,-0.0865765978130994,-0.1362930626042366,-0.6432704140468342,-0.3160353811579979,0.1698327121151953,1.06713518538645,-0.3341835091502894,0.0554276842577572,-0.1343990881905404,-0.6991300244482358,0.2458295324069616,0.5306116562630366,1.7101982452722666,-0.6420043641948351,-0.6185677000086734,-0.2360507336875641,-0.7211718119167766,0.644591296237499,-1.2903309726207568,-0.689243458349823,0.0687373688570569,0.5671792085278956,0.1385581424511399,0.740503729226324,0.2329754083595539,1.1742992627758344,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-0.4278721500259161,-0.6463903832711597,1.5843502981153277,1.691623000339645,0.9461383835055072,-0.1597954778521308,-0.1328329160488873,0.6718693710800681,-0.9719860687648204,-0.1087595491293974,-0.38550806239587226,0.213323895071945,0.32443818726781154,1.011249895362355,0.7764001474045753,-1.1348308525042228,0.1490651225113125,-0.4363362385946738,0.5635606797287175,0.4933616895555585,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-0.7024362404410768,0.0014764575181038
CH_031,47.473,8.622,True,-0.3071114105336007,0.7256778121696346,0.2909090513477668,-0.6043859522879964,0.0753781651941227,1.2203253117703907,-0.186729890600902,-0.1827679372558197,-0.3164718813984681,-0.6739218170915467,0.0047234680257059,0.4688255141033698,-0.7711236182611922,-0.6798203865076764,-0.8595578537748261,1.1415702993606025,-0.4598533469587087,0.1266602061161389,-0.7928729761134682,-0.4737962574409859,-0.31690357307252,0.0763114700402865,-0.8646157247300631,-0.6420043641948351,-0.6185677000086734,-2.458728318020897,-0.8236612402431635,-0.3144506130759292,0.5614521252112128,-0.6849780340668007,-0.4163913875522315,-0.6013055146968422,-0.2569592229116805,-0.3820544624225545,-0.365587116790204,-0.4743420639703698,-0.5468846419569181,-0.7783453774757525,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.201182843166112,-0.7926468892522819,1.5843502981153277,0.7035118090393779,0.4066403444163023,0.3687370975218063,-0.6663644077252343,-0.4218888902370402,-0.559232586351501,-0.4458811922985829,-0.584728699697481,0.20502555099191022,0.8327163060027224,1.3904677026236758,3.69828590736812,0.8544931290224752,0.1591288361148403,-0.4819823336737798,0.6258006151217966,0.4033727015613757,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,0.1301436049359506,0.0014764575181038
CH_032,47.197,8.627,True,0.0796013982583411,-0.8091631185988274,0.2695328659314939,0.2996235551688612,0.4719975371505154,-2.3655429952248856,2.6455364208520327,0.1104768537760937,-0.1578344050308581,-0.6397462487017342,-0.1387480640067025,-0.6607291624174956,-0.6392750014151355,0.7544657173869156,-0.4254235716385997,-0.123826638199992,4.5696492089298815,4.527015296700276,4.7185566464807405,-0.2392633684653067,1.059778127446838,0.6525963845046481,-0.8646157247300631,-0.6420043641948351,-0.6185677000086734,0.2176878733482403,0.3475941440223831,0.0215934901280685,-1.5421548338327056,1.5110769993523854,0.4152579091494059,1.4435427509464491,0.0396788011104348,0.740503729226324,-0.4360062373960579,-0.7098622535055418,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,0.0467275997979122,-0.4285717977572645,0.2939565253401415,0.1920262157905976,-0.1208688493598091,-0.1931277290501136,0.7668476385425995,0.0056338861702525,-1.1678690773677514,-1.9820560556758997,-0.8348898541114478,0.4924746998429635,1.0954838924785228,2.111226252647932,0.3362150247808339,0.17423734249644365,0.6127476863460635,-0.5593785758277353,0.4587991363212141,0.721841010269759,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-0.928003965336758,0.0014764575181038
CH_033,47.181,8.665,True,-0.1137550061376297,0.7902729640608562,0.3573769707497665,-0.6837544581521541,0.5450590004056404,-2.015252517934859,1.167203341023177,0.2733906265716013,0.0404624404286543,-0.7550887920173514,-0.0996194643615002,-0.0959518241570628,-0.6512612393102315,0.3234847556350673,-0.2754905979111401,-0.2148028886128447,2.775834748623129,2.715545947588049,3.533896843436287,-0.8431609536549769,1.4084873048295172,1.3108562848745904,1.9493144182285371,1.3863042520001925,-0.6185677000086734,-0.7516376355870394,1.1190297556242503,-0.909197420641801,-0.850545885922145,-2.499959964677881,0.041015725633669,1.4435427509464491,0.0168604915702721,1.488875856992243,0.2329754083595539,1.4098194523110064,0.2039305200561082,0.9873709912148236,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-1.0459555451453204,-0.6943393860557451,0.2939565253401415,0.6510675684770784,-0.8401995681454156,-0.2920614951343314,0.4425441828177612,-0.1477254483496699,-0.56622840808732,0.2421498113608917,-0.8348898541114478,0.4924746998429635,0.6238375491347273,2.058496831499457,0.9195358249100339,-0.9103507494893324,0.1633045342895121,-0.4709826213340272,0.6066815394221462,0.1613340312322281,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,0.3337578056556615,0.0014764575181038
CH_034,47.338,8.799,True,0.3889716452918946,0.031044737064813,-0.0561848370301256,0.0173961967433056,0.3363119625338547,-2.3286703134048827,2.639750381400648,2.5541834457087065,-0.2345091852752029,0.1719235005563118,-0.0996194643615002,-0.6607291624174956,-0.723178666680808,-0.3183524831029003,-0.4567528497309046,0.8934532527800939,1.4633641806760314,2.25666575909802,1.6441522657833314,-0.3172140104283371,-0.1642233189240424,0.3894017852070381,-0.8646157247300631,-0.6420043641948351,-0.6185677000086734,-2.432842896000764,-0.7933877891148712,0.2272879937256476,-0.7880095603558437,-1.2324963203084534,-0.3609481011054556,-0.3091843338906578,-0.0439883338701617,-0.0078683985395949,-0.365587116790204,-0.4743420639703698,-0.5468846419569181,-0.7783453774757525,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.0319457230738944,-0.4285717977572645,-0.9964372474350444,0.1587086982569014,0.5025511069210499,-0.2339008928162111,-1.461430944340967,-0.4339705821712329,0.0563997264005683,0.5371113246869332,-0.6503976931251674,0.44350874030404147,1.172796599077212,1.506592478620537,-0.787248193056639,1.0019074686761755,0.2178727603579722,-0.8955812403246924,1.2100086912038228,0.29734547684943,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,0.1825392249019883,0.0014764575181038
CH_035,47.266,8.77,True,-0.1137550061376297,0.1781633432555569,0.0297059497395607,-0.1220943427939243,0.3363119625338547,-2.697397131604911,8.182776175827431,-0.1176024281376167,-0.2345091852752029,0.1035723637766867,-0.3213481956843132,-0.4590229701816268,-0.50343097193738,0.3559241828637011,0.1317900172888249,0.4964659782512796,5.34009255555377,5.305041418419664,5.453567041862533,-0.1882830016988394,0.1869000587097931,-0.3974631808911456,1.103410486663423,-0.6420043641948351,-0.6185677000086734,-3.385411513777957,-1.1095207736996189,0.2931654165838538,-1.0394536386115163,-1.6785674042487877,-0.3055048146586798,-0.0170631530844733,-0.2797775324518432,-0.756240526305514,0.4442327701771156,1.1742992627758344,-0.3591808514536615,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.576447761631465,-1.0162482690718555,-0.9964372474350444,-1.4186289605374371,-0.3846234462478649,-1.0810260103922802,0.264700352258979,-0.1178735478123751,-1.510664342422881,-1.017712821078466,-0.6288174159648766,0.6071429680215872,0.9684503059145344,1.295767139772955,-0.5028584648025964,-1.0493364329298371,-0.2566450377336295,-0.3033464817474781,0.6171986168986338,-0.1765586981932166,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,0.1301436049359506,0.0014764575181038
CH_036,47.417,8.555,True,0.466314207050283,0.0739465605886301,-0.0213043207751562,-0.0294784934314718,0.2841252030659084,0.4920898458253326,-0.1086183580072051,-0.1958010390794604,-0.3402675028536095,-0.4176050541679532,-0.6343769928459315,-0.2573167779457579,-0.2637062140354586,-0.4156707647888015,-0.6514419350188001,0.9596177985348964,-0.4901498949342537,-0.4710226266389948,-0.299612393129283,0.6650220481462117,0.063631156588108,0.7235007359332024,-0.8646157247300631,-0.6420043641948351,-0.6185677000086734,-1.4116440277886366,-0.788776972315668,0.2837349689125015,0.1426564842019681,-1.2146435454516318,-0.3886697443288436,-0.3091843338906578,0.1005276265508687,0.3663176653433644,-0.4360062373960579,-0.7098622535055418,-0.5468846419569181,-0.7783453774757525,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-1.9510062308558769,-0.9204707383840534,-0.9964372474350444,-1.2307551811113169,0.2987407365984613,-0.8247700928679248,-0.6035959969397817,-0.3828379920234459,-1.552639272837795,-1.010619717947956,-0.5268090972729114,0.11030952364145079,-1.355419497884142,0.9609214636181885,0.05813039671211026,-1.1868153344769758,-0.286552253548541,-0.5175108623050074,0.9573658674151608,-0.929370866091529,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-0.7249877726163443,0.0014764575181038
CH_037,47.366,8.523,True,0.466314207050283,0.4222508599205284,0.1551164490271289,-0.3427538252035915,0.3154372587466762,-0.1531820860247157,0.044711687454496,-0.0328872662839529,0.955271887481872,-0.5030439751424844,-0.1909195302003055,0.085583748855219,-0.2716970392988559,2.7564417977825983,2.4971505132578526,0.9099943892187942,-0.2484265579778003,0.2092218005580292,0.2512563836946386,1.1150993059834229,-0.6859930142583006,0.4384011395140717,0.0908658264321849,-0.6420043641948351,-0.6185677000086734,-4.407944233318293,1.271575406052131,0.2199883175302918,0.5512262987775965,0.8265967910867318,-0.2223398849885161,-0.3091843338906578,0.5188633014538518,1.1146897931092834,-0.365587116790204,-0.2388218744351977,-0.5468846419569181,-0.7783453774757525,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.730968610411316,-0.8652932427173697,0.2939565253401415,2.023872689078449,0.262774200659181,-0.3357958383918215,-0.8232854346888657,-0.4369301482760034,1.553505577865828,0.8190024007837201,-0.4988487735978026,0.14037988394232767,-0.8834603404800689,0.925045141173035,-0.7245273011607968,-0.4154868941311103,0.47531202749482,-0.7296761110533129,0.8002426385400521,-0.0594794031407736,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-1.2873439333958654,0.0014764575181038
CH_038,47.412,8.533,True,0.466314207050283,-1.5848937909053775,-0.5162341799997597,1.2449204440437436,0.8216488255857558,-0.1070912337497111,0.0042094112948013,-0.4825292791995537,-0.3825708298849722,-0.5756670579708358,-0.6343769928459315,-0.3379992548401054,0.335605680719345,-0.4272562745133136,-0.4791309055111225,0.5047365464706298,-0.1894847415812334,-0.2789584929167525,0.1215211116918591,0.1185360944701533,-0.2283606942937109,0.4458013656042644,-0.2992833004697436,0.3913573591961673,-0.6185677000086734,-1.9080017962346536,-0.7171622633912444,0.6100164321975078,0.4868227543897305,-0.3834286298668055,-0.2223398849885161,-0.3091843338906578,0.077709317010706,0.3663176653433644,0.0569276068449192,-0.2388218744351977,1.1424494725723913,0.398798868317965,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.0908108083233614,-1.4530901889133294,0.2939565253401415,-0.4996207685663175,2.073089842936291,2.727886020010472,0.7354634331498733,-0.1398717079937207,-0.0695250648441731,0.1833328438292466,-0.5268090972729114,0.11030952364145079,0.2578328997333025,1.072428952299071,0.1360363466458933,0.8617524333157344,0.0962593445553383,-1.0282269640135482,1.4850531426293525,-0.827787433772251,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-0.7024362404410768,0.0014764575181038
CH_039,47.445,8.68,True,0.466314207050283,0.3887594732285679,-0.1932846161567943,-0.1037522229105214,-0.5195508927404656,0.2247629026303139,-0.0652230621218181,-0.1567017336085385,0.241403243827627,-0.3877014318268674,-0.6343769928459315,-0.0354399664863022,-0.0199860435018383,-0.3067669733783882,0.1922107678954132,0.3227840456449236,-0.4157271976349109,-0.5074276482713276,-0.211733280881347,0.266801433793097,0.5568072424039214,1.101851692112526,0.0908658264321849,-0.6420043641948351,-0.6185677000086734,-2.383986824684837,-0.0306030768879722,-0.220364145174376,1.2902115498817168,0.8715436145918568,0.4360491415669468,0.8593003893340802,0.8002891191158588,1.8630619208752024,-0.365587116790204,-0.2388218744351977,-0.1714770609504049,-0.1897732545788937,-0.4071103740646977,-0.6982208754395988,-0.2449265049874135,-2.1349596222604617,-0.9190250398076336,0.2939565253401415,-1.650000610076994,-0.1088800040467156,-0.2381528428551337,1.2689949248262202,-0.1406148025135332,-0.097508351787449,-0.8372770290843677,-0.584728699697481,0.20502555099191022,0.7173015688846692,1.487846292117664,-0.3859665289061874,-1.3928198798175218,-0.3450104543795594,-0.3357753464118788,0.7210448630109456,-0.5545958706495565,-0.2116254610577886,-0.1728257453041733,0.1372652016859669,-0.0220413958146941,-0.6352448272201074,0.0014764575181038
