random_state,target,r2,Modelo,posicion
0,bac_asv_richness_z,0.0172547339588942,XGBoost Multisalida,1
0,bac_asv_richness_z,0.0073105053307449,RF Individual,2
0,bac_asv_richness_z,0.0003530197222664,RandomForest Multisalida,3
0,bac_asv_richness_z,-0.0422907843712581,Random Forest con RegressorChain,4
0,bac_asv_richness_z,-0.0504054553042339,XGBoost Individual,5
0,bac_asv_richness_z,-0.0760556702294383,Regresión Individual,6
0,bac_asv_richness_z,-0.11407174614444,MLP Estandar,7
0,bac_asv_richness_z,-0.1657170430332892,MLP Perdida Custom,8
0,bac_shannon_z,0.0315995810468162,RandomForest Multisalida,1
0,bac_shannon_z,0.0169367453738842,Random Forest con RegressorChain,2
0,bac_shannon_z,0.0033162591501021,RF Individual,3
0,bac_shannon_z,-0.0446610619622966,XGBoost Multisalida,4
0,bac_shannon_z,-0.0812391862285295,Regresión Individual,5
0,bac_shannon_z,-0.0893444319744674,MLP Estandar,6
0,bac_shannon_z,-0.1821201136478576,MLP Perdida Custom,7
0,bac_shannon_z,-0.2091851813239265,XGBoost Individual,8
0,cerc_asv_richness_z,0.1277922686801279,RF Individual,1
0,cerc_asv_richness_z,0.1266923604006691,Random Forest con RegressorChain,2
0,cerc_asv_richness_z,0.1232887938458042,RandomForest Multisalida,3
0,cerc_asv_richness_z,0.1018608131860397,Regresión Individual,4
0,cerc_asv_richness_z,0.0984862636649269,XGBoost Multisalida,5
0,cerc_asv_richness_z,0.0482865121102676,MLP Perdida Custom,6
0,cerc_asv_richness_z,-0.0037691705848834,XGBoost Individual,7
0,cerc_asv_richness_z,-0.0335957957450459,MLP Estandar,8
0,cerc_shannon_z,0.0318797104494804,Random Forest con RegressorChain,1
0,cerc_shannon_z,0.015451015952051,Regresión Individual,2
0,cerc_shannon_z,-0.0057834119665538,RandomForest Multisalida,3
0,cerc_shannon_z,-0.0130683687221857,XGBoost Multisalida,4
0,cerc_shannon_z,-0.0370559109763468,RF Individual,5
0,cerc_shannon_z,-0.1170583391100932,MLP Estandar,6
0,cerc_shannon_z,-0.1263817913071616,MLP Perdida Custom,7
0,cerc_shannon_z,-0.5394929450089265,XGBoost Individual,8
0,coll_shannon_z,-0.1896632906077349,RandomForest Multisalida,1
0,coll_shannon_z,-0.2704871502790562,Random Forest con RegressorChain,2
0,coll_shannon_z,-0.4432060602287335,XGBoost Multisalida,3
0,coll_shannon_z,-0.4502719008062612,RF Individual,4
0,coll_shannon_z,-0.4997815668028846,Regresión Individual,5
0,coll_shannon_z,-0.7069237846791518,XGBoost Individual,6
0,coll_shannon_z,-1.017136027447668,MLP Estandar,7
0,coll_shannon_z,-1.0658101557126085,MLP Perdida Custom,8
0,coll_species_richness_z,-0.2958705081563344,RandomForest Multisalida,1
0,coll_species_richness_z,-0.5582996330466345,RF Individual,2
0,coll_species_richness_z,-0.6293494446701693,XGBoost Multisalida,3
0,coll_species_richness_z,-0.7340579954886903,Regresión Individual,4
0,coll_species_richness_z,-0.8919052617537844,XGBoost Individual,5
0,coll_species_richness_z,-0.9888547082647254,Random Forest con RegressorChain,6
0,coll_species_richness_z,-1.8823570168287893,MLP Estandar,7
0,coll_species_richness_z,-1.9189675283380756,MLP Perdida Custom,8
0,earthworm_richness_z,0.5789599129377385,XGBoost Multisalida,1
0,earthworm_richness_z,0.5489637291632707,RF Individual,2
0,earthworm_richness_z,0.5453285359867652,Random Forest con RegressorChain,3
0,earthworm_richness_z,0.4895472609270274,XGBoost Individual,4
0,earthworm_richness_z,0.4438757693327377,RandomForest Multisalida,5
0,earthworm_richness_z,0.4337100208518907,MLP Estandar,6
0,earthworm_richness_z,0.3944447641512091,MLP Perdida Custom,7
0,earthworm_richness_z,0.2789313433634833,Regresión Individual,8
0,earthworm_shannon_z,0.5390272520927675,XGBoost Multisalida,1
0,earthworm_shannon_z,0.4978523617105647,RF Individual,2
0,earthworm_shannon_z,0.4959731320094859,Random Forest con RegressorChain,3
0,earthworm_shannon_z,0.4042079028851542,RandomForest Multisalida,4
0,earthworm_shannon_z,0.3898016099461643,XGBoost Individual,5
0,earthworm_shannon_z,0.3312934045080604,MLP Estandar,6
0,earthworm_shannon_z,0.3075130312708337,MLP Perdida Custom,7
0,earthworm_shannon_z,0.2395443154158835,Regresión Individual,8
0,euk_asv_richness_z,0.2572788088381084,Random Forest con RegressorChain,1
0,euk_asv_richness_z,0.2273474872753985,RF Individual,2
0,euk_asv_richness_z,0.2060496063958946,XGBoost Multisalida,3
0,euk_asv_richness_z,0.1832136791290952,RandomForest Multisalida,4
0,euk_asv_richness_z,0.1803379766345987,MLP Estandar,5
0,euk_asv_richness_z,0.1322405677890876,XGBoost Individual,6
0,euk_asv_richness_z,0.0426064459516649,MLP Perdida Custom,7
0,euk_asv_richness_z,0.0399642628615142,Regresión Individual,8
0,euk_shannon_z,0.1859465442868794,Random Forest con RegressorChain,1
0,euk_shannon_z,0.158604704989171,RF Individual,2
0,euk_shannon_z,0.1434673134744709,RandomForest Multisalida,3
0,euk_shannon_z,0.1187671639579771,MLP Estandar,4
0,euk_shannon_z,0.0985531864669279,XGBoost Multisalida,5
0,euk_shannon_z,0.0407474755720241,Regresión Individual,6
0,euk_shannon_z,0.0163413551712425,XGBoost Individual,7
0,euk_shannon_z,-0.0071074186503203,MLP Perdida Custom,8
0,fun_asv_richness_z,0.0202163712207512,MLP Estandar,1
0,fun_asv_richness_z,0.0086708771782151,Regresión Individual,2
0,fun_asv_richness_z,-0.0022367660863913,RandomForest Multisalida,3
0,fun_asv_richness_z,-0.0206798981766873,Random Forest con RegressorChain,4
0,fun_asv_richness_z,-0.0238637866802189,RF Individual,5
0,fun_asv_richness_z,-0.0683992125688244,XGBoost Multisalida,6
0,fun_asv_richness_z,-0.1229477458675298,MLP Perdida Custom,7
0,fun_asv_richness_z,-0.1628199284327192,XGBoost Individual,8
0,fun_shannon_z,-0.0161081349245613,Regresión Individual,1
0,fun_shannon_z,-0.0206502697378301,RandomForest Multisalida,2
0,fun_shannon_z,-0.0300280409943445,Random Forest con RegressorChain,3
0,fun_shannon_z,-0.0548257887411613,XGBoost Multisalida,4
0,fun_shannon_z,-0.0612294519973659,RF Individual,5
0,fun_shannon_z,-0.0636096716695486,MLP Estandar,6
0,fun_shannon_z,-0.1218647255313141,MLP Perdida Custom,7
0,fun_shannon_z,-0.1836652250832431,XGBoost Individual,8
0,macro_order_richness_z,0.4319170941740801,Random Forest con RegressorChain,1
0,macro_order_richness_z,0.4047336173292359,MLP Estandar,2
0,macro_order_richness_z,0.3991969939868944,XGBoost Multisalida,3
0,macro_order_richness_z,0.3121363266621284,RF Individual,4
0,macro_order_richness_z,0.2635434012057323,RandomForest Multisalida,5
0,macro_order_richness_z,0.2585483333585101,MLP Perdida Custom,6
0,macro_order_richness_z,0.1886287683924327,XGBoost Individual,7
0,macro_order_richness_z,0.1521030756371686,Regresión Individual,8
0,macro_shannon_z,0.3693083500421596,XGBoost Multisalida,1
0,macro_shannon_z,0.3276728756105698,XGBoost Individual,2
0,macro_shannon_z,0.3190366914085902,Random Forest con RegressorChain,3
0,macro_shannon_z,0.318470107927676,MLP Estandar,4
0,macro_shannon_z,0.2733379279247432,RF Individual,5
0,macro_shannon_z,0.2048185188069364,RandomForest Multisalida,6
0,macro_shannon_z,0.193054597619796,MLP Perdida Custom,7
0,macro_shannon_z,0.1257139074895296,Regresión Individual,8
0,meso_shannon_z,-0.1153899110592238,RandomForest Multisalida,1
0,meso_shannon_z,-0.174548570536932,RF Individual,2
0,meso_shannon_z,-0.2498916095231236,Regresión Individual,3
0,meso_shannon_z,-0.2781467129805499,XGBoost Individual,4
0,meso_shannon_z,-0.2829446688159027,XGBoost Multisalida,5
0,meso_shannon_z,-0.3997782064564978,Random Forest con RegressorChain,6
