Modelo,r2_medio,r2_std,r2_min,r2_max,veces_top1,pct_top1,veces_top2,pct_top2,veces_top3,pct_top3,veces_top5,pct_top5
Random Forest con RegressorChain,0.5035372958946598,0.011480131245443757,0.47269114920350525,0.5368115927422127,401,81.7,401,81.7,488,99.4,491,100.0
XGBoost Multisalida,0.5594703681743376,0.008771809076471182,0.5344937641069588,0.585082206949455,89,18.1,90,18.3,90,18.3,90,18.3
RF Individual,0.5252960684800609,0.008099678803673625,0.5077411239090799,0.5435632043492334,1,0.2,90,18.3,90,18.3,90,18.3
MLP Perdida Custom,0.3892508815078869,0.05848013663457117,0.23479204284312322,0.5041398692998537,0,0.0,0,0.0,1,0.2,16,3.3
MLP Estandar,0.4273927202437408,0.03872826638951586,0.29230798955712367,0.5146898702339696,0,0.0,0,0.0,2,0.4,40,8.1
RandomForest Multisalida,0.4306565653594013,0.007540292781922885,0.40837842301774524,0.4490443986110799,0,0.0,0,0.0,0,0.0,47,9.6
Regresión Individual,0.2592378293896834,0.0,0.2592378293896834,0.2592378293896834,0,0.0,0,0.0,0,0.0,0,0.0
XGBoost Individual,0.43967443543659585,0.0,0.43967443543659585,0.43967443543659585,0,0.0,0,0.0,0,0.0,77,15.7
