Target,Modelo,Score_Compuesto,R2,Precision,Recall,F1_Macro
nematode_shannon_z,XGBoost Multisalida,0.3683319032072,0.2245170322420862,0.46808510638297873,0.4238471673254282,0.35687830687830685
macro_shannon_z,XGBoost Multisalida,0.5300096070672473,0.3825017696070112,0.6455026455026455,0.5467348678601877,0.5452991452991452
earthworm_shannon_z,Random Forest con RegressorChain,0.6938932570355771,0.5012188665701017,0.7703296703296704,0.7578415736310472,0.746182917611489
orib_shannon_z,MLP Perdida Custom,0.33604232373214415,0.2600937608738363,0.39181286549707606,0.4358974358974359,0.25636523266022826
meso_shannon_z,XGBoost Multisalida,0.15560400516795864,-0.28695811957480033,0.21963824289405687,0.24074074074074073,0.16203703703703703
coll_shannon_z,XGBoost Multisalida,0.35561625394574703,-0.3799541835565754,0.6290322580645161,0.5306122448979592,0.26282051282051283
bac_shannon_z,Random Forest con RegressorChain,0.3603773816935849,0.028247158086007418,0.5396825396825397,0.4658045977011495,0.407775231304643
fun_shannon_z,XGBoost Multisalida,0.296934700372548,-0.019191258887848006,0.4617063492063493,0.4098522167487684,0.31618023553507424
euk_shannon_z,Random Forest con RegressorChain,0.4242361314541553,0.17970698031157828,0.5663956639566395,0.47135955831607995,0.47948232323232326
oomy_shannon_z,XGBoost Multisalida,0.41092597972178757,0.06908871927195082,0.5685185185185185,0.5091269841269841,0.4969696969696969
cerc_shannon_z,XGBoost Multisalida,0.32734819397566706,0.018390067924551223,0.46305469556243556,0.4127647714604236,0.41518324095525777
macro_order_richness_z,XGBoost Multisalida,0.5600649343045521,0.425764663435209,0.6785714285714285,0.5814000814000814,0.5545235638114895
earthworm_richness_z,XGBoost Multisalida,0.6559256345296541,0.5794313260571293,0.7191123188405797,0.6635254803675856,0.6616334128533218
orib_species_richness_z,MLP Perdida Custom,0.35187746621960087,0.2839059131132976,0.3461538461538462,0.419753086419753,0.3576970191915067
meso_species_richness_z,Regresión Individual,0.19948560475668908,-0.10437533283488598,0.20606060606060606,0.34047619047619043,0.25140562248995985
coll_species_richness_z,Regresión Individual,0.2940851831396882,-0.8109724662075883,0.42717948717948717,0.4448275862068966,0.3043336591723689
bac_asv_richness_z,XGBoost Multisalida,0.37300105255860944,0.03771654346050324,0.521335597057159,0.4674758792405851,0.46547619047619043
fun_asv_richness_z,Random Forest con RegressorChain,0.2911301583661404,-0.019794967092879867,0.4374727668845315,0.3844444444444444,0.34260342213558587
euk_asv_richness_z,Random Forest con RegressorChain,0.5185881347854316,0.2904546262902339,0.659233449477352,0.5663780663780663,0.5582863969960744
oomy_asv_richness_z,RandomForest Multisalida,0.4408761354981397,0.18293581898210431,0.7183787561146051,0.4519191919191919,0.41027077497665737
cerc_asv_richness_z,MLP Estandar,0.3627384715761757,0.059569237678750664,0.6087768440709618,0.4206649831649832,0.3619428213900074
