random_state,target,r2,Modelo
5,macro_shannon_z,0.3276728756105698,XGBoost Individual
6,macro_shannon_z,0.3276728756105698,XGBoost Individual
7,macro_shannon_z,0.3276728756105698,XGBoost Individual
8,macro_shannon_z,0.3276728756105698,XGBoost Individual
9,macro_shannon_z,0.3276728756105698,XGBoost Individual
10,macro_shannon_z,0.3276728756105698,XGBoost Individual
11,macro_shannon_z,0.3276728756105698,XGBoost Individual
12,macro_shannon_z,0.3276728756105698,XGBoost Individual
13,macro_shannon_z,0.3276728756105698,XGBoost Individual
14,macro_shannon_z,0.3276728756105698,XGBoost Individual
15,macro_shannon_z,0.3276728756105698,XGBoost Individual
16,macro_shannon_z,0.3276728756105698,XGBoost Individual
17,macro_shannon_z,0.3276728756105698,XGBoost Individual
18,macro_shannon_z,0.3276728756105698,XGBoost Individual
19,macro_shannon_z,0.3276728756105698,XGBoost Individual
20,macro_shannon_z,0.3276728756105698,XGBoost Individual
21,macro_shannon_z,0.3276728756105698,XGBoost Individual
22,macro_shannon_z,0.3276728756105698,XGBoost Individual
23,macro_shannon_z,0.3276728756105698,XGBoost Individual
24,macro_shannon_z,0.3276728756105698,XGBoost Individual
25,macro_shannon_z,0.3276728756105698,XGBoost Individual
26,macro_shannon_z,0.3276728756105698,XGBoost Individual
27,macro_shannon_z,0.3276728756105698,XGBoost Individual
28,macro_shannon_z,0.3276728756105698,XGBoost Individual
29,macro_shannon_z,0.3276728756105698,XGBoost Individual
30,macro_shannon_z,0.3276728756105698,XGBoost Individual
31,macro_shannon_z,0.3276728756105698,XGBoost Individual
32,macro_shannon_z,0.3276728756105698,XGBoost Individual
33,macro_shannon_z,0.3276728756105698,XGBoost Individual
34,macro_shannon_z,0.3276728756105698,XGBoost Individual
35,macro_shannon_z,0.3276728756105698,XGBoost Individual
36,macro_shannon_z,0.3276728756105698,XGBoost Individual
37,macro_shannon_z,0.3276728756105698,XGBoost Individual
38,macro_shannon_z,0.3276728756105698,XGBoost Individual
39,macro_shannon_z,0.3276728756105698,XGBoost Individual
40,macro_shannon_z,0.3276728756105698,XGBoost Individual
41,macro_shannon_z,0.3276728756105698,XGBoost Individual
42,macro_shannon_z,0.3276728756105698,XGBoost Individual
43,macro_shannon_z,0.3276728756105698,XGBoost Individual
44,macro_shannon_z,0.3276728756105698,XGBoost Individual
45,macro_shannon_z,0.3276728756105698,XGBoost Individual
46,macro_shannon_z,0.3276728756105698,XGBoost Individual
47,macro_shannon_z,0.3276728756105698,XGBoost Individual
48,macro_shannon_z,0.3276728756105698,XGBoost Individual
49,macro_shannon_z,0.3276728756105698,XGBoost Individual
50,macro_shannon_z,0.3276728756105698,XGBoost Individual
51,macro_shannon_z,0.3276728756105698,XGBoost Individual
52,macro_shannon_z,0.3276728756105698,XGBoost Individual
53,macro_shannon_z,0.3276728756105698,XGBoost Individual
54,macro_shannon_z,0.3276728756105698,XGBoost Individual
55,macro_shannon_z,0.3276728756105698,XGBoost Individual
56,macro_shannon_z,0.3276728756105698,XGBoost Individual
57,macro_shannon_z,0.3276728756105698,XGBoost Individual
58,macro_shannon_z,0.3276728756105698,XGBoost Individual
59,macro_shannon_z,0.3276728756105698,XGBoost Individual
60,macro_shannon_z,0.3276728756105698,XGBoost Individual
61,macro_shannon_z,0.3276728756105698,XGBoost Individual
62,macro_shannon_z,0.3276728756105698,XGBoost Individual
63,macro_shannon_z,0.3276728756105698,XGBoost Individual
64,macro_shannon_z,0.3276728756105698,XGBoost Individual
65,macro_shannon_z,0.3276728756105698,XGBoost Individual
66,macro_shannon_z,0.3276728756105698,XGBoost Individual
67,macro_shannon_z,0.3276728756105698,XGBoost Individual
68,macro_shannon_z,0.3276728756105698,XGBoost Individual
69,macro_shannon_z,0.3276728756105698,XGBoost Individual
70,macro_shannon_z,0.3276728756105698,XGBoost Individual
71,macro_shannon_z,0.3276728756105698,XGBoost Individual
72,macro_shannon_z,0.3276728756105698,XGBoost Individual
