target,Modelo,r2_medio,r2_std,veces_top1,veces_top3,pct_top1,pct_top3
earthworm_shannon_z,MLP Estandar,0.3867535231701677,0.04326323668709009,0,1,0.0,1.0
earthworm_shannon_z,MLP Perdida Custom,0.3532598522537567,0.04232177884539354,0,0,0.0,0.0
earthworm_shannon_z,RF Individual,0.5034150071024618,0.009953107552071693,3,101,3.0,100.0
earthworm_shannon_z,Random Forest con RegressorChain,0.4986011507402064,0.024521099401256404,5,100,5.0,99.0
earthworm_shannon_z,RandomForest Multisalida,0.4140000174471842,0.00911533709297236,0,0,0.0,0.0
earthworm_shannon_z,Regresión Individual,0.2395443154158835,0.0,0,0,0.0,0.0
earthworm_shannon_z,XGBoost Individual,0.3898016099461643,0.0,0,0,0.0,0.0
earthworm_shannon_z,XGBoost Multisalida,0.5342828793930174,0.01076554611258317,93,101,92.1,100.0
euk_asv_richness_z,MLP Estandar,0.23834605715101076,0.04222423376078782,21,67,20.8,66.3
euk_asv_richness_z,MLP Perdida Custom,0.1934385758713874,0.04320525775057329,5,20,5.0,19.8
euk_asv_richness_z,RF Individual,0.23914387474322032,0.014018536638335855,5,83,5.0,82.2
euk_asv_richness_z,Random Forest con RegressorChain,0.2761391324105895,0.03127082941953387,68,95,67.3,94.1
euk_asv_richness_z,RandomForest Multisalida,0.18526659502588477,0.007788765613348127,0,0,0.0,0.0
euk_asv_richness_z,Regresión Individual,0.0399642628615142,0.0,0,0,0.0,0.0
euk_asv_richness_z,XGBoost Individual,0.1322405677890876,0.0,0,0,0.0,0.0
euk_asv_richness_z,XGBoost Multisalida,0.22070968013943487,0.017879064999508098,2,38,2.0,37.6
euk_shannon_z,MLP Estandar,0.156607341414312,0.03494233355591583,34,74,33.7,73.3
euk_shannon_z,MLP Perdida Custom,0.10143474291888133,0.03952039727677623,0,14,0.0,13.9
euk_shannon_z,RF Individual,0.164440117156586,0.008947940145777608,29,98,28.7,97.0
euk_shannon_z,Random Forest con RegressorChain,0.1639035643997067,0.018852971493195262,38,92,37.6,91.1
euk_shannon_z,RandomForest Multisalida,0.136614584639121,0.0060130969096056025,0,24,0.0,23.8
euk_shannon_z,Regresión Individual,0.0407474755720241,0.0,0,0,0.0,0.0
euk_shannon_z,XGBoost Individual,0.0163413551712425,0.0,0,0,0.0,0.0
euk_shannon_z,XGBoost Multisalida,0.09610736899911916,0.021375329378239067,0,1,0.0,1.0
fun_asv_richness_z,MLP Estandar,0.012918939384464985,0.02343556300803158,55,85,54.5,84.2
fun_asv_richness_z,MLP Perdida Custom,-0.006667315868422099,0.022508942962110298,13,49,12.9,48.5
fun_asv_richness_z,RF Individual,-0.018678718183203248,0.005814647017540962,0,7,0.0,6.9
fun_asv_richness_z,Random Forest con RegressorChain,-0.02958789823423565,0.011937135157961782,0,2,0.0,2.0
fun_asv_richness_z,RandomForest Multisalida,-0.004882834001160887,0.0037442357230780634,0,59,0.0,58.4
fun_asv_richness_z,Regresión Individual,0.0086708771782151,0.0,33,101,32.7,100.0
fun_asv_richness_z,XGBoost Individual,-0.16281992843271922,0.0,0,0,0.0,0.0
fun_asv_richness_z,XGBoost Multisalida,-0.06647927283568905,0.017558985106608485,0,0,0.0,0.0
fun_shannon_z,MLP Estandar,-0.09465513909061472,0.041327690234281476,2,4,2.0,4.0
fun_shannon_z,MLP Perdida Custom,-0.07108446327330664,0.029593898882125567,3,7,3.0,6.9
fun_shannon_z,RF Individual,-0.03859802519569124,0.010469115472453168,2,19,2.0,18.8
fun_shannon_z,Random Forest con RegressorChain,-0.027830617400699423,0.011847010655863497,16,63,15.8,62.4
fun_shannon_z,RandomForest Multisalida,-0.017780736977417035,0.005486421477015967,29,98,28.7,97.0
fun_shannon_z,Regresión Individual,-0.0161081349245613,0.0,47,100,46.5,99.0
fun_shannon_z,XGBoost Individual,-0.18366522508324307,0.0,0,0,0.0,0.0
fun_shannon_z,XGBoost Multisalida,-0.048974752045424966,0.017802045556427698,2,12,2.0,11.9
macro_order_richness_z,MLP Estandar,0.3342045287762881,0.04408136865397855,4,65,4.0,64.4
macro_order_richness_z,MLP Perdida Custom,0.28370447795753934,0.0497401615153316,0,16,0.0,15.8
macro_order_richness_z,RF Individual,0.3102608790035754,0.012347542635264058,0,21,0.0,20.8
macro_order_richness_z,Random Forest con RegressorChain,0.3917786961794628,0.042148196831150606,38,100,37.6,99.0
macro_order_richness_z,RandomForest Multisalida,0.254281460612768,0.009982521849192787,0,0,0.0,0.0
macro_order_richness_z,Regresión Individual,0.1521030756371686,0.0,0,0,0.0,0.0
macro_order_richness_z,XGBoost Individual,0.18862876839243273,0.0,0,0,0.0,0.0
macro_order_richness_z,XGBoost Multisalida,0.40839215062048095,0.017838873715330397,59,101,58.4,100.0
macro_shannon_z,MLP Estandar,0.2447495863826174,0.042140423805525774,0,15,0.0,14.9
macro_shannon_z,MLP Perdida Custom,0.2035946499141704,0.04254771786915558,0,1,0.0,1.0
macro_shannon_z,RF Individual,0.2761680637631561,0.009467844881615728,0,40,0.0,39.6
macro_shannon_z,Random Forest con RegressorChain,0.22763245548895683,0.09168095705399712,0,45,0.0,44.6
macro_shannon_z,RandomForest Multisalida,0.1983466192302208,0.008644717682742026,0,0,0.0,0.0
macro_shannon_z,Regresión Individual,0.1257139074895296,0.0,0,0,0.0,0.0
macro_shannon_z,XGBoost Individual,0.3276728756105698,0.0,0,101,0.0,100.0
macro_shannon_z,XGBoost Multisalida,0.373167340560044,0.01416532081716956,101,101,100.0,100.0
meso_shannon_z,MLP Estandar,-0.4110608851572596,0.12137016383206811,1,4,1.0,4.0
meso_shannon_z,MLP Perdida Custom,-0.32056324437258615,0.09479855067608799,0,14,0.0,13.9
meso_shannon_z,RF Individual,-0.18775865322467852,0.011572776607936396,0,96,0.0,95.0
meso_shannon_z,Random Forest con RegressorChain,-0.3141990285127297,0.14696585634128054,3,44,3.0,43.6
meso_shannon_z,RandomForest Multisalida,-0.12175643513589088,0.00861311367674412,97,101,96.0,100.0
meso_shannon_z,Regresión Individual,-0.2498916095231236,0.0,0,42,0.0,41.6
meso_shannon_z,XGBoost Individual,-0.2781467129805499,0.0,0,0,0.0,0.0
meso_shannon_z,XGBoost Multisalida,-0.28972524281963996,0.02371267994778161,0,2,0.0,2.0
meso_species_richness_z,MLP Estandar,-0.2219069424007424,0.09915142876808804,1,4,1.0,4.0
meso_species_richness_z,MLP Perdida Custom,-0.1551139428272541,0.08108252704954645,3,17,3.0,16.8
meso_species_richness_z,RF Individual,-0.04957750867122947,0.011857221930251401,3,101,3.0,100.0
meso_species_richness_z,Random Forest con RegressorChain,-0.0899665001207484,0.043271671185420926,7,51,6.9,50.5
meso_species_richness_z,RandomForest Multisalida,-0.025588235611728013,0.007488570236573307,87,101,86.1,100.0
meso_species_richness_z,Regresión Individual,-0.0959168294079584,0.0,0,24,0.0,23.8
meso_species_richness_z,XGBoost Individual,-0.1809318149826448,0.0,0,0,0.0,0.0
meso_species_richness_z,XGBoost Multisalida,-0.12015029184946442,0.018570692099033143,0,5,0.0,5.0
nematode_shannon_z,MLP Estandar,0.11985302153978519,0.03307447947373296,1,19,1.0,18.8
nematode_shannon_z,MLP Perdida Custom,0.0374499485242961,0.03605865115658999,0,0,0.0,0.0
nematode_shannon_z,RF Individual,0.13994941963960078,0.015090655933195824,0,30,0.0,29.7
nematode_shannon_z,Random Forest con RegressorChain,0.15439677913469976,0.014136711494154785,1,73,1.0,72.3
nematode_shannon_z,RandomForest Multisalida,0.15303758393609052,0.008803325979263803,0,76,0.0,75.2
nematode_shannon_z,Regresión Individual,0.011160511952442002,0.0,0,0,0.0,0.0
nematode_shannon_z,XGBoost Individual,0.1367928685847697,0.0,0,4,0.0,4.0
nematode_shannon_z,XGBoost Multisalida,0.21091046208915107,0.01718932206813289,99,101,98.0,100.0
oomy_asv_richness_z,MLP Estandar,0.0012521622441233448,0.04478830629122806,0,0,0.0,0.0
oomy_asv_richness_z,MLP Perdida Custom,0.050647054024858314,0.04155693304032767,0,0,0.0,0.0
oomy_asv_richness_z,RF Individual,0.18781959684162683,0.012204922804171698,10,87,9.9,86.1
oomy_asv_richness_z,Random Forest con RegressorChain,0.20787660774077946,0.02109133859548024,76,97,75.2,96.0
oomy_asv_richness_z,RandomForest Multisalida,0.19256678355028556,0.006492058059158529,14,98,13.9,97.0
oomy_asv_richness_z,Regresión Individual,0.1034625001826371,0.0,0,0,0.0,0.0
oomy_asv_richness_z,XGBoost Individual,0.0733622030756572,0.0,0,0,0.0,0.0
oomy_asv_richness_z,XGBoost Multisalida,0.16604336849136248,0.015336294863017982,1,21,1.0,20.8
oomy_shannon_z,MLP Estandar,0.09911127320961906,0.03808586845139044,23,62,22.8,61.4
oomy_shannon_z,MLP Perdida Custom,0.06328358997824073,0.03959593641187729,3,21,3.0,20.8
oomy_shannon_z,RF Individual,0.0951000810100214,0.01568714865936863,1,48,1.0,47.5
oomy_shannon_z,Random Forest con RegressorChain,0.09393130436035257,0.014843772709977733,1,48,1.0,47.5
oomy_shannon_z,RandomForest Multisalida,0.12785351724756736,0.007469358841968214,73,101,72.3,100.0
oomy_shannon_z,Regresión Individual,0.0857221154957514,0.0,0,1,0.0,1.0
oomy_shannon_z,XGBoost Individual,0.0869448795617706,0.0,0,21,0.0,20.8
oomy_shannon_z,XGBoost Multisalida,0.050460019418828134,0.01975881454552362,0,1,0.0,1.0
orib_shannon_z,MLP Estandar,0.24918479322095968,0.025360657084893094,72,98,71.3,97.0
orib_shannon_z,MLP Perdida Custom,0.21324733507642224,0.028649267469158097,7,67,6.9,66.3
orib_shannon_z,RF Individual,0.16036169763823488,0.008026900750973034,0,0,0.0,0.0
orib_shannon_z,Random Forest con RegressorChain,0.1954179531510273,0.024242048703957082,2,38,2.0,37.6
orib_shannon_z,RandomForest Multisalida,0.1683316560382062,0.005403288576759312,0,1,0.0,1.0
orib_shannon_z,Regresión Individual,0.11372535013558119,0.0,0,0,0.0,0.0
orib_shannon_z,XGBoost Individual,0.1569763504755617,0.0,0,0,0.0,0.0
orib_shannon_z,XGBoost Multisalida,0.2282705261523761,0.013163441376993365,20,99,19.8,98.0
orib_species_richness_z,MLP Estandar,0.2914657353251327,0.03493623052601781,66,94,65.3,93.1
orib_species_richness_z,MLP Perdida Custom,0.24433788720806898,0.034239953819070634,4,59,4.0,58.4
orib_species_richness_z,RF Individual,0.22797443679123947,0.010564553223901887,1,6,1.0,5.9
orib_species_richness_z,Random Forest con RegressorChain,0.2210739568370088,0.022018081130472277,0,12,0.0,11.9
orib_species_richness_z,RandomForest Multisalida,0.23724403810444145,0.008022822959180958,0,32,0.0,31.7
orib_species_richness_z,Regresión Individual,0.092076863981214,0.0,0,0,0.0,0.0
orib_species_richness_z,XGBoost Individual,-0.1267094419770009,0.0,0,0,0.0,0.0
orib_species_richness_z,XGBoost Multisalida,0.278690895228652,0.015381677500751027,30,100,29.7,99.0
